year,month,nationality,visa_class,issuances,source_file
2024,12,*Non-Nationality Based Issuances,B1/B2,131,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,B2,2,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,C1/D,12,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,F1,15,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,G4,9,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,I,1,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,J1,5,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,J2,2,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,K1,5,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,*Non-Nationality Based Issuances,P1,1,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Afghanistan,B1/B2,142,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Afghanistan,F1,30,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Afghanistan,F2,6,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Afghanistan,G4,9,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Afghanistan,J2,1,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Afghanistan,K1,20,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Afghanistan,L2,1,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,A2,14,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,B1/B2,2024,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,C1/D,20,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,E2,3,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,F1,51,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,F2,2,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,G4,5,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,H1B,5,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,H2B,1,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,J1,11,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,K1,18,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,L1,1,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,NATO2,9,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,O1,1,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,P3,7,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Albania,R1,1,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Algeria,A2,3,2024-12_dos_niv_nationality_visa_class.xlsx
2024,12,Algeria,B1,1,2024-12_dos_niv_nationality_visa_class.xlsx
