year,month,nationality,visa_class,issuances,source_file
2024,4,*Non-Nationality Based Issuances,A2,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,B1/B2,147,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,B2,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,C1/D,10,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,F1,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,G3,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,G4,3,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,H4,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,J1,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,J2,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,K1,4,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,*Non-Nationality Based Issuances,P1,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Afghanistan,B1,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Afghanistan,B1/B2,166,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Afghanistan,F1,4,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Afghanistan,G4,11,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Afghanistan,J1,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Afghanistan,J2,4,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Afghanistan,K1,18,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,A2,16,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,B1/B2,2761,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,C1,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,C1/D,8,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,F1,3,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,F2,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,G2,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,G4,9,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,H1B,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,J1,119,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,K1,7,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,L1,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,NATO2,22,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,NATO6,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Albania,P3,5,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,A2,14,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,B1/B2,1610,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,C1,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,D,22,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,F1,14,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,F2,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,G1,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,G2,4,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,G4,5,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,H4,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,I,3,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,J1,13,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,K1,12,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,L1,4,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,L2,4,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Algeria,O1,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Andorra,G2,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Andorra,J1,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Andorra,L2,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,A1,17,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,A2,114,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,B1,3,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,B1/B2,492,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,C1/D,19,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,F1,24,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,F2,3,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,G2,6,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,G4,2,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,I,5,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,J1,5,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,K1,1,2024-04_dos_niv_nationality_visa_class.xlsx
2024,4,Angola,L1,1,2024-04_dos_niv_nationality_visa_class.xlsx
