year,month,nationality,visa_class,issuances,source_file
2025,4,*Non-Nationality Based Issuances,B1,2,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,*Non-Nationality Based Issuances,B1/B2,173,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,*Non-Nationality Based Issuances,C1/D,7,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,*Non-Nationality Based Issuances,G4,2,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,*Non-Nationality Based Issuances,J1,4,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,*Non-Nationality Based Issuances,K1,2,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,*Non-Nationality Based Issuances,L1,3,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Afghanistan,B1/B2,90,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Afghanistan,E2,1,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Afghanistan,F1,14,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Afghanistan,G4,10,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Afghanistan,J1,4,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Afghanistan,K1,16,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,A2,6,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,B1/B2,1855,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,C1/D,18,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,F1,14,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,G2,5,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,G4,1,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,H2B,1,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,J1,460,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,K1,3,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,L1,1,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,L2,4,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,NATO2,9,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,O1,1,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,P3,2,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,R1,1,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Albania,R2,2,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Algeria,A1,3,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Algeria,A2,11,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Algeria,B1/B2,1394,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Algeria,B2,1,2025-04_dos_niv_nationality_visa_class.xlsx
2025,4,Algeria,C1,3,2025-04_dos_niv_nationality_visa_class.xlsx
