year,month,nationality,visa_class,issuances,source_file
2025,5,*Non-Nationality Based Issuances,B1/B2,166,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,*Non-Nationality Based Issuances,B2,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,*Non-Nationality Based Issuances,C1/D,8,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,*Non-Nationality Based Issuances,F1,7,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,*Non-Nationality Based Issuances,G4,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,*Non-Nationality Based Issuances,K1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,*Non-Nationality Based Issuances,K2,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,*Non-Nationality Based Issuances,O2,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,*Non-Nationality Based Issuances,R1,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Afghanistan,B1/B2,67,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Afghanistan,E2,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Afghanistan,F1,11,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Afghanistan,F2,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Afghanistan,G4,20,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Afghanistan,J1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Afghanistan,K1,10,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Afghanistan,P1,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,A1,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,A2,34,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,B1/B2,1549,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,C1/D,10,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,E2,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,F1,46,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,G1,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,G2,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,G4,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,H1B,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,H4,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,I,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,J1,359,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,K1,7,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,L1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,NATO2,7,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,P3,5,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Albania,R1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,A1,10,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,A2,23,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,B1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,B1/B2,1227,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,C1,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,D,11,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,F1,16,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,G1,5,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,G4,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,I,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,J1,22,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,J2,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,K1,4,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,L1,4,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,L2,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Algeria,R1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Andorra,B1/B2,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Andorra,F1,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,A1,14,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,A2,7,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,B1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,B1/B2,248,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,C1/D,5,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,F1,18,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,G4,4,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,H1B,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,J1,21,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,L1,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Angola,L2,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Anguilla,B1/B2,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Anguilla,K1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,A2,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,B1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,B1/B2,126,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,C1/D,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,C3,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,F1,4,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,H1B,3,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,H2B,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,J1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,L1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Antigua and Barbuda,M1,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,A1,4,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,A2,52,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,B1,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,B1/B2,21466,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,B2,26,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,BBBCC,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,C1,4,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,C1/D,124,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,E1,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,E2,13,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,F1,225,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,F2,12,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,G2,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,G4,25,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,H1B,22,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,H2A,6,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,H2B,12,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,H4,8,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,I,40,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,J1,217,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,J2,20,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,K1,7,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,L1,53,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,L2,40,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,M1,18,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,O1,26,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,O2,21,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,O3,10,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,P1,40,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,P3,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,P4,9,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,R1,4,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,R2,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Argentina,TD,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Armenia,A2,16,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Armenia,B1/B2,911,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Armenia,D,1,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Armenia,E2,2,2025-05_dos_niv_nationality_visa_class.xlsx
2025,5,Armenia,F1,18,2025-05_dos_niv_nationality_visa_class.xlsx
