year,month,nationality,visa_class,issuances,source_file
2025,6,*Non-Nationality Based Issuances,B1,9,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,B1/B2,108,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,C1/D,16,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,C4/D3,4,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,F1,8,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,F2,2,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,G4,1,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,J1,1,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,K1,3,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,*Non-Nationality Based Issuances,O2,1,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Afghanistan,B1/B2,27,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Afghanistan,C2,2,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Afghanistan,F1,3,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Afghanistan,G4,10,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Afghanistan,K1,3,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Afghanistan,NATO6,1,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,A1,1,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,A2,5,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,B1/B2,895,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,C1/D,7,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,E2,6,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,F1,10,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,G1,3,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,H1B,5,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,H2B,2,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,H4,4,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,J1,44,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,NATO2,1,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,O1,1,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Albania,R2,2,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Algeria,A1,6,2025-06_dos_niv_nationality_visa_class.xlsx
2025,6,Algeria,A2,50,2025-06_dos_niv_nationality_visa_class.xlsx
