year,month,nationality,visa_class,issuances,source_file
2023,2,*Non-Nationality Based Issuances,B1/B2,113,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,*Non-Nationality Based Issuances,C1/D,22,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,*Non-Nationality Based Issuances,F1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,*Non-Nationality Based Issuances,G4,9,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,*Non-Nationality Based Issuances,J1,2,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,*Non-Nationality Based Issuances,K1,3,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,B1/B2,144,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,F1,13,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,G4,7,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,H4,6,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,J1,5,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,J2,6,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,K1,13,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,L1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Afghanistan,L2,5,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,A1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,A2,8,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,B1/B2,2405,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,C1/D,3,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,E2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,F1,17,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,F2,8,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,G2,7,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,G4,6,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,H1B,2,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,H4,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,J1,23,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,K1,7,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,K2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,L1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,L2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,NATO2,3,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Albania,P3,8,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,A1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,A2,15,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,B1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,B1/B2,1874,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,BBBCC,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,C1,3,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,D,6,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,F1,17,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,F2,2,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,G1,5,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,G2,3,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,G4,4,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,H1B,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,J1,11,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,J2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,K1,3,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,L1,2,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,L2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Algeria,M1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,A1,2,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,A2,11,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,B1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,B1/B2,242,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,B2,17,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,C1/D,11,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,F1,10,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,F2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,G1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,G2,15,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,G4,3,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,J1,2,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,L1,3,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Angola,L2,4,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Anguilla,B1/B2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,A2,4,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,B1/B2,422,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,C1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,C1/D,2,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,G2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,H1B,2,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,H4,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,J1,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Antigua and Barbuda,J2,1,2023-02_dos_niv_nationality_visa_class.xlsx
2023,2,Argentina,A1,1,2023-02_dos_niv_nationality_visa_class.xlsx
