year,month,nationality,visa_class,issuances,source_file
2022,11,*Non-Nationality Based Issuances,B1/B2,90,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,*Non-Nationality Based Issuances,C1/D,17,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,*Non-Nationality Based Issuances,CW1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,*Non-Nationality Based Issuances,F1,4,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,*Non-Nationality Based Issuances,G4,7,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,*Non-Nationality Based Issuances,H1B,2,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,*Non-Nationality Based Issuances,L1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,*Non-Nationality Based Issuances,P1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,*Non-Nationality Based Issuances,P3,2,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,B1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,B1/B2,157,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,C1/D,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,F1,20,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,F2,3,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,G4,13,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,H1B,2,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,H4,4,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,I,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,J1,7,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,J2,14,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Afghanistan,K1,29,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,A1,2,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,A2,2,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,B1/B2,2442,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,C1/D,10,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,F1,13,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,G2,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,G4,4,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,H1B,2,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,H4,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,J1,12,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,K2,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,L2,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,NATO2,5,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Albania,Q1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,A1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,A2,25,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,B1/B2,1445,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,C1,3,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,C1/D,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,D,5,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,F1,18,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,F2,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,G1,4,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,G2,2,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,G4,5,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,H1B,3,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,H4,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,I,6,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,J1,11,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,K1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,L1,4,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,L2,5,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,M1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,O3,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Algeria,P1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Andorra,B1/B2,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Andorra,C1/D,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Andorra,F1,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Andorra,H1B,1,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Andorra,J1,2,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Angola,A1,9,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Angola,A2,58,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Angola,B1/B2,281,2022-11_dos_niv_nationality_visa_class.xlsx
2022,11,Angola,B2,31,2022-11_dos_niv_nationality_visa_class.xlsx
