year,month,nationality,visa_class,issuances,source_file
2025,1,*Non-Nationality Based Issuances,B1/B2,141,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,*Non-Nationality Based Issuances,C1/D,8,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,*Non-Nationality Based Issuances,G4,17,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,*Non-Nationality Based Issuances,H1B,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,*Non-Nationality Based Issuances,J1,3,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,*Non-Nationality Based Issuances,K1,4,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,*Non-Nationality Based Issuances,L1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,B1/B2,166,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,F1,27,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,G4,22,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,H1B,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,H4,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,J1,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,J2,6,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,K1,8,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Afghanistan,O1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,A2,4,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,B1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,B1/B2,2088,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,C1/D,11,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,E2,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,F1,15,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,F2,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,G2,3,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,G4,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,G5,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,H1B,6,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,H4,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,I,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,J1,11,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,K1,15,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,L2,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,NATO2,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,NATO5,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,O1,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,O3,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Albania,P3,11,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,A1,5,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,A2,8,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,B1/B2,1772,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,C1,4,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,C1/D,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,D,35,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,F1,26,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,F2,4,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,G2,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,G4,5,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,H1B,3,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,H4,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,I,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,J1,9,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,K1,7,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,L1,5,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Algeria,L2,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Andorra,G4,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,A1,8,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,A2,7,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,B1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,B1/B2,351,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,C1/D,23,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,F1,33,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,F2,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,G1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,G2,11,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,G4,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,H1B,3,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,H4,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,J1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,K1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,L1,3,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,M1,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,P3,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Angola,P4,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Antigua and Barbuda,B1/B2,249,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Antigua and Barbuda,C3,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Antigua and Barbuda,F1,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Antigua and Barbuda,H1B,3,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Antigua and Barbuda,J1,2,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Antigua and Barbuda,J2,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Antigua and Barbuda,K1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Antigua and Barbuda,R1,1,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Argentina,A1,10,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Argentina,A2,24,2025-01_dos_niv_nationality_visa_class.xlsx
2025,1,Argentina,B1,2,2025-01_dos_niv_nationality_visa_class.xlsx
