year,month,nationality,visa_class,issuances,source_file
2023,12,*Non-Nationality Based Issuances,B1/B2,102,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,*Non-Nationality Based Issuances,C1/D,11,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,*Non-Nationality Based Issuances,E2,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,*Non-Nationality Based Issuances,F1,13,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,*Non-Nationality Based Issuances,G4,14,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,*Non-Nationality Based Issuances,H1B,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,*Non-Nationality Based Issuances,K1,7,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,*Non-Nationality Based Issuances,P3,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,B1/B2,128,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,E1,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,F1,27,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,F2,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,G4,7,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,I,4,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,J1,2,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,J2,5,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,K1,22,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,O1,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Afghanistan,P3,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,A1,3,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,A2,6,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,B1/B2,2243,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,B2,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,C1/D,8,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,F1,59,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,F2,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,G1,7,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,H1B,8,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,H4,1,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,J1,13,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,J2,2,2023-12_dos_niv_nationality_visa_class.xlsx
2023,12,Albania,K1,15,2023-12_dos_niv_nationality_visa_class.xlsx
