year,month,nationality,visa_class,issuances,source_file
2023,5,*Non-Nationality Based Issuances,B1/B2,175,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,B2,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,C1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,C1/D,18,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,F1,6,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,G4,11,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,J1,5,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,K1,3,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,L1,3,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,*Non-Nationality Based Issuances,L2,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,B1/B2,149,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,B2,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,F1,8,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,F2,5,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,G4,11,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,H1B,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,H4,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,J1,6,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,J2,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,K1,18,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Afghanistan,P1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,A2,5,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,B1/B2,1464,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,B2,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,C1/D,10,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,E2,5,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,F1,30,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,F2,4,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,G2,7,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,G4,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,H1B,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,I,4,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,J1,235,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,J2,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,K1,12,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,K2,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,L1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,L2,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,NATO2,13,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Albania,P3,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,A1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,A2,49,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,B1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,B1/B2,2208,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,C1,6,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,D,16,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,F1,17,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,F2,4,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,G1,9,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,G2,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,G4,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,H1B,3,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,H4,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,J1,20,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,J2,3,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,K1,10,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,L1,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Algeria,L2,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Andorra,B1/B2,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Andorra,C1/D,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Andorra,F1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Andorra,J1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,A1,6,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,A2,15,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,B1/B2,308,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,B2,22,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,C1/D,11,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,F1,20,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,G1,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,G2,6,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,G4,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,I,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,J1,23,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,L1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Angola,M1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Anguilla,B1/B2,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,B1/B2,550,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,C1/D,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,C3,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,F1,3,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,G4,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,H1B,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,H2B,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,J1,7,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,K1,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Antigua and Barbuda,P3,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,A1,5,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,A2,259,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,B1,11,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,B1/B2,24499,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,B2,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,C1,13,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,C1/D,155,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,C3,1,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,E1,13,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,E2,75,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,F1,256,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,F2,16,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,G1,3,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,G2,6,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,G4,32,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,H1B,17,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,H2A,27,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,H2B,5,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,H3,2,2023-05_dos_niv_nationality_visa_class.xlsx
2023,5,Argentina,H4,7,2023-05_dos_niv_nationality_visa_class.xlsx
