year,month,nationality,visa_class,issuances,source_file
2023,9,*Non-Nationality Based Issuances,B1,9,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,B1/B2,135,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,B2,5,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,C1/D,23,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,G4,7,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,H1B,2,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,H4,2,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,J1,2,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,K1,5,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,K2,1,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,M1,1,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,O2,1,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,*Non-Nationality Based Issuances,P3,1,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,B1,1,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,B1/B2,160,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,C2,1,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,F1,22,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,F2,3,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,G4,17,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,J1,4,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,J2,4,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,K1,17,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Afghanistan,O1,1,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Albania,A1,4,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Albania,A2,19,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Albania,B1,1,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Albania,B1/B2,2144,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Albania,C1/D,8,2023-09_dos_niv_nationality_visa_class.xlsx
2023,9,Albania,F1,13,2023-09_dos_niv_nationality_visa_class.xlsx
