year,month,nationality,visa_class,issuances,source_file
2025,2,*Non-Nationality Based Issuances,B1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,*Non-Nationality Based Issuances,B1/B2,130,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,*Non-Nationality Based Issuances,C1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,*Non-Nationality Based Issuances,C1/D,13,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,*Non-Nationality Based Issuances,G4,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,*Non-Nationality Based Issuances,K1,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,*Non-Nationality Based Issuances,R1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,A2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,B1/B2,127,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,F1,18,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,F2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,G4,11,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,H1B,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,H4,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,J1,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,K1,13,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,L2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,O1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Afghanistan,O3,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,A1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,A2,6,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,B1/B2,2346,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,B2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,C1/D,8,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,E1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,F1,9,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,G2,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,G4,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,H1B,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,J1,21,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,K1,14,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,L1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,NATO2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,NATO4,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,P1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,P3,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Albania,R1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,A1,8,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,A2,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,B1,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,B1/B2,1350,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,B2,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,C1,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,C3,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,D,24,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,F1,24,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,F2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,G1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,G2,11,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,G4,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,H4,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,I,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,J1,18,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,K1,6,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,L1,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,L2,9,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Algeria,M1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Andorra,B1/B2,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Andorra,J1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,A1,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,A2,11,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,A3,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,B1,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,B1/B2,167,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,C1/D,10,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,F1,10,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,F2,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,G1,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,G2,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,H1B,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,J1,9,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Angola,P1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,A2,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,B1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,B1/B2,186,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,F1,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,G2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,J1,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,L1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,L2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,M1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Antigua and Barbuda,O1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,A2,40,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,B1,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,B1/B2,18781,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,B2,42,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,C1,6,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,C1/D,84,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,C3,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,E1,7,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,E2,34,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,F1,36,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,F2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,G1,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,G2,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,G4,26,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,G5,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,H1B,12,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,H2A,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,H2B,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,H4,19,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,I,13,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,J1,169,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,J2,6,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,K1,9,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,K2,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,L1,50,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,L2,53,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,M1,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,O1,29,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,O2,36,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,O3,11,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,P1,41,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,P3,6,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,P4,19,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,R1,7,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Argentina,R2,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,A2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,B1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,B1/B2,1972,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,E2,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,F1,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,F2,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,G1,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,G2,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,H1B,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,J1,12,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,K1,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,M1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,O1,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,O2,12,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,P1,14,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,P3,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,P4,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Armenia,R1,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,A1,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,A2,511,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,B1,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,B1/B2,789,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,C1/D,110,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,C3,6,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,E2,19,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,E3,256,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,E3D,184,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,E3R,214,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,F1,29,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,F2,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,G1,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,G2,7,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,G4,15,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,H1B,24,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,H2A,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,H3,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,H4,7,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,I,32,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,J1,297,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,J2,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,K1,8,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,L1,69,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,L2,70,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,M1,6,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,M2,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,O1,50,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,O2,38,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,O3,8,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,P1,38,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,P3,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,R1,8,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Australia,TD,1,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,A1,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,A2,19,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,B1/B2,219,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,C1/D,53,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,E1,6,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,E2,14,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,F1,23,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,G2,15,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,G4,8,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,H1B,3,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,I,4,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,J1,44,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,L1,17,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,L2,5,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,M1,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,O1,8,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,O2,2,2025-02_dos_niv_nationality_visa_class.xlsx
2025,2,Austria,P1,92,2025-02_dos_niv_nationality_visa_class.xlsx
