state,year,population,lawful_permanent_residents_total,lawful_permanent_residents_rank,lawful_permanent_residents_per_million,lawful_permanent_residents_per_million_rank,adjustments_total,adjustments_rank,adjustments_per_million,adjustments_per_million_rank,new_arrivals_total,new_arrivals_rank,new_arrivals_per_million,new_arrivals_per_million_rank,nonimmigrants_total,nonimmigrants_rank,nonimmigrants_per_million,nonimmigrants_per_million_rank,naturalizations_total,naturalizations_rank,naturalizations_per_million,naturalizations_per_million_rank,refugees_total,refugees_rank,refugees_per_million,refugees_per_million_rank,asylees_total,asylees_rank,asylees_per_million,asylees_per_million_rank,source_file
Puerto Rico,2019,3193694,2560,39,800.014,47,790,47,246.736,52,1770,35,553.278,35,129260,39,40473.508,42,1130,45,352.883,50,0,,0.0,,10,50,3.444,52,state_data_2013-2023_20250514_3.csv
Puerto Rico,2020,3281590,1690,40,514.69,48,770,43,234.642,50,920,36,280.047,38,70870,35,21596.848,36,1190,41,361.715,48,0,,0.0,,10,47,4.266,51,state_data_2013-2023_20250514_3.csv
Puerto Rico,2021,3262711,1330,43,406.41,49,650,45,199.527,51,680,39,206.883,47,30830,37,9450.117,43,1170,44,359.823,49,0,,0.0,,10,45,3.371,47,state_data_2013-2023_20250514_3.csv
Puerto Rico,2022,3220137,1960,43,608.049,49,740,45,228.251,52,1220,39,379.798,44,82970,38,25764.742,41,1470,43,456.502,49,0,,0.0,,20,44,7.453,46,state_data_2013-2023_20250514_3.csv
Puerto Rico,2023,3203792,2450,41,764.095,48,720,45,223.797,52,1730,36,540.297,38,125870,35,39288.443,38,1250,45,390.163,50,0,,0.0,,10,51,1.561,52,state_data_2013-2023_20250514_3.csv
Rhode Island,2013,1055081,3340,37,3162.79,13,1500,39,1418.848,15,1840,31,1743.942,9,54680,44,51821.614,28,2820,31,2668.989,10,170,40,162.073,35,20,40,15.165,27,state_data_2013-2023_20250514_3.csv
Rhode Island,2014,1055936,3300,37,3122.348,14,1330,40,1257.652,21,1970,31,1864.696,9,57540,43,54490.992,28,2480,32,2347.68,9,190,39,178.041,32,20,39,15.152,22,state_data_2013-2023_20250514_3.csv
Rhode Island,2015,1056065,3610,37,3418.35,12,1310,40,1236.666,23,2300,28,2181.684,6,63240,43,59882.678,27,2730,35,2583.174,10,190,40,175.179,33,40,34,35.983,19,state_data_2013-2023_20250514_3.csv
Rhode Island,2016,1056770,4190,36,3968.697,9,1480,40,1399.548,19,2720,29,2569.149,6,67120,43,63512.401,27,2740,34,2589.021,10,340,40,318.896,17,30,36,27.442,17,state_data_2013-2023_20250514_3.csv
Rhode Island,2017,1055673,4100,35,3885.673,10,1420,39,1344.166,18,2680,27,2541.507,6,70980,43,67237.677,27,3420,29,3234.903,6,200,39,193.242,20,30,42,26.523,28,state_data_2013-2023_20250514_3.csv
Rhode Island,2018,1058287,4340,35,4097.187,6,1790,37,1693.302,13,2540,27,2403.885,6,76650,43,72428.368,26,3050,34,2878.236,6,90,39,81.263,19,60,39,53.861,25,state_data_2013-2023_20250514_3.csv
Rhode Island,2019,1059361,3450,37,3251.96,12,1430,39,1352.702,18,2010,30,1899.258,6,67210,43,63439.186,27,2310,38,2182.448,17,90,41,84.013,29,80,37,76.461,22,state_data_2013-2023_20250514_3.csv
Rhode Island,2020,1096530,2290,37,2090.23,14,1150,39,1049.675,16,1140,31,1040.555,7,25070,46,22864.855,32,1480,38,1346.064,21,60,33,54.718,10,70,35,61.102,18,state_data_2013-2023_20250514_3.csv
Rhode Island,2021,1097246,2220,38,2021.425,14,1350,38,1230.353,19,870,36,791.071,8,18610,44,16963.379,24,2980,31,2714.979,9,50,35,42.835,19,40,33,38.278,16,state_data_2013-2023_20250514_3.csv
Rhode Island,2022,1099498,3380,36,3075.04,12,1580,37,1435.2,13,1800,34,1639.839,7,45880,43,41730.863,26,3010,36,2741.251,14,70,37,65.484,31,110,30,100.046,11,state_data_2013-2023_20250514_3.csv
Rhode Island,2023,1103429,4510,35,4085.446,9,1820,36,1651.216,11,2690,29,2434.23,5,61690,43,55908.445,28,2880,37,2612.764,13,190,38,173.097,29,80,33,73.408,9,state_data_2013-2023_20250514_3.csv
South Carolina,2013,4764080,4270,32,895.451,47,2480,32,519.513,45,1790,33,375.938,44,131490,34,27600.292,41,4770,24,1001.243,30,150,41,31.066,42,40,30,8.396,40,state_data_2013-2023_20250514_3.csv
South Carolina,2014,4823617,4230,33,877.557,46,2190,33,454.223,46,2040,30,423.334,42,153560,31,31834.202,39,4490,22,930.008,32,120,42,25.085,43,10,41,2.902,46,state_data_2013-2023_20250514_3.csv
South Carolina,2015,4891938,4420,34,902.914,48,2180,33,445.631,47,2240,31,457.283,41,170650,33,34883.721,39,4610,25,942.571,32,230,38,46.198,40,30,41,5.11,45,state_data_2013-2023_20250514_3.csv
South Carolina,2016,4957968,5100,34,1029.454,47,2630,33,531.064,46,2470,34,498.39,45,181280,32,36562.761,39,4160,25,838.852,37,350,38,70.593,40,20,42,3.429,48,state_data_2013-2023_20250514_3.csv
South Carolina,2017,5021268,5030,33,1001.142,46,2690,32,536.319,44,2330,33,464.823,45,204080,31,40643.12,40,5030,24,1002.336,34,240,37,48.195,41,40,40,7.966,47,state_data_2013-2023_20250514_3.csv
South Carolina,2018,5084156,5080,33,998.789,45,2820,33,555.451,44,2250,33,443.338,45,228060,30,44857.2,39,3900,29,766.499,42,100,37,19.669,42,20,48,3.54,51,state_data_2013-2023_20250514_3.csv
South Carolina,2019,5148714,4680,32,907.994,46,2720,31,528.093,46,1960,33,379.901,44,227960,30,44274.357,40,4000,30,775.922,44,190,33,36.708,40,20,45,4.467,50,state_data_2013-2023_20250514_3.csv
South Carolina,2020,5132249,3710,30,721.906,44,2520,29,491.792,42,1180,30,230.114,44,101830,30,19841.789,41,3440,30,669.492,41,60,35,11.106,42,30,39,6.625,49,state_data_2013-2023_20250514_3.csv
South Carolina,2021,5194274,4380,28,842.851,41,3210,28,618.181,39,1170,28,224.67,44,56710,28,10918.369,35,2540,35,489.77,46,100,29,19.059,36,20,42,3.273,49,state_data_2013-2023_20250514_3.csv
South Carolina,2022,5287935,5850,28,1107.048,39,3290,28,621.982,39,2570,26,485.066,39,148510,31,28083.742,37,4790,27,905.647,41,320,28,60.137,33,40,40,7.753,45,state_data_2013-2023_20250514_3.csv
South Carolina,2023,5387830,6500,28,1205.866,39,3740,28,694.714,38,2750,28,511.152,42,194240,30,36051.249,40,4660,28,865.283,43,680,29,126.767,35,90,32,16.148,41,state_data_2013-2023_20250514_3.csv
South Dakota,2013,842316,1230,47,1461.447,32,940,44,1119.532,24,290,48,341.914,49,14890,52,17671.515,50,460,49,550.862,45,530,30,632.779,1,10,44,10.685,34,state_data_2013-2023_20250514_3.csv
South Dakota,2014,849129,1110,48,1304.867,34,770,46,906.812,32,340,48,398.055,46,16830,52,19821.488,50,680,47,796.11,34,520,31,615.925,2,0,,0.0,,state_data_2013-2023_20250514_3.csv
South Dakota,2015,853988,1270,48,1481.285,34,900,46,1050.366,26,370,48,430.919,44,19650,52,23007.349,50,540,49,634.669,45,480,32,566.753,3,10,46,11.71,38,state_data_2013-2023_20250514_3.csv
South Dakota,2016,862996,1230,48,1424.109,39,740,47,859.795,35,490,48,564.313,40,19580,52,22686.084,50,650,48,749.714,41,430,36,493.629,7,10,49,8.111,41,state_data_2013-2023_20250514_3.csv
South Dakota,2017,872868,1020,48,1165.125,42,540,48,622.087,43,470,48,543.037,39,20580,52,23576.302,50,630,48,724.05,43,310,34,359.734,7,10,48,11.456,42,state_data_2013-2023_20250514_3.csv
South Dakota,2018,878698,1130,48,1288.27,41,730,46,828.499,38,400,48,459.771,43,21090,52,24005.972,50,630,48,711.28,43,210,30,240.128,1,20,46,22.761,39,state_data_2013-2023_20250514_3.csv
South Dakota,2019,884659,1200,48,1355.324,35,800,46,904.303,31,400,48,451.021,40,22890,52,25872.116,50,780,47,881.696,42,130,37,145.819,11,20,47,16.956,43,state_data_2013-2023_20250514_3.csv
South Dakota,2020,887948,890,47,996.68,35,700,45,788.334,28,190,48,208.346,46,9690,52,10911.675,51,830,45,939.244,30,50,36,56.31,9,10,48,14.64,41,state_data_2013-2023_20250514_3.csv
South Dakota,2021,896492,680,48,759.628,43,490,47,547.69,42,190,48,211.937,46,7640,51,8522.106,46,960,46,1070.841,32,50,34,56.888,9,10,46,11.155,36,state_data_2013-2023_20250514_3.csv
South Dakota,2022,909723,680,48,750.778,46,370,48,403.42,46,320,48,347.358,46,16080,52,17679.008,50,650,50,715.602,46,60,40,67.053,30,20,45,16.489,39,state_data_2013-2023_20250514_3.csv
South Dakota,2023,918305,1010,48,1095.497,43,520,47,564.083,45,490,48,531.414,40,21090,52,22970.582,50,970,48,1050.849,37,200,37,219.97,18,10,50,7.623,48,state_data_2013-2023_20250514_3.csv
Tennessee,2013,6494340,8380,21,1290.354,36,4610,21,709.541,37,3770,22,580.813,31,180620,28,27811.294,40,5000,22,770.517,39,1560,17,239.901,20,100,20,16.014,26,state_data_2013-2023_20250514_3.csv
Tennessee,2014,6541223,8510,21,1300.521,35,4510,22,689.932,39,3990,21,610.589,31,201540,27,30810.141,40,4610,21,705.22,37,1470,18,224.27,23,80,21,12.689,25,state_data_2013-2023_20250514_3.csv
Tennessee,2015,6591170,8830,21,1340.126,36,4810,22,729.006,39,4030,22,611.121,33,241000,27,36563.463,38,5380,22,816.395,38,1530,18,232.129,27,120,23,18.054,27,state_data_2013-2023_20250514_3.csv
Tennessee,2016,6646010,10030,22,1509.477,36,5080,23,764.218,41,4950,21,745.259,34,270680,26,40727.895,37,5370,22,808.154,38,1960,16,294.763,22,140,20,20.463,23,state_data_2013-2023_20250514_3.csv
Tennessee,2017,6708799,9790,22,1459.725,36,5090,24,758.258,40,4710,21,701.467,34,326780,24,48709.016,35,3650,26,543.316,45,1050,20,156.213,31,540,10,80.64,9,state_data_2013-2023_20250514_3.csv
Tennessee,2018,6771631,9590,23,1416.202,38,5230,23,772.34,43,4360,21,643.863,34,378720,23,55927.885,32,5520,23,814.87,40,420,23,62.023,30,1390,6,205.711,4,state_data_2013-2023_20250514_3.csv
Tennessee,2019,6829174,9510,21,1392.116,34,5370,22,786.918,38,4130,21,605.198,32,400280,23,58613.824,29,6720,22,984.014,35,650,19,95.033,25,500,16,73.362,24,state_data_2013-2023_20250514_3.csv
Tennessee,2020,6927904,6700,21,967.681,36,4410,22,636.845,38,2290,21,330.836,33,179630,23,25928.044,28,7450,20,1075.217,25,180,25,26.126,34,200,20,28.869,32,state_data_2013-2023_20250514_3.csv
Tennessee,2021,6965740,7280,21,1044.684,33,4650,23,667.84,34,2630,19,376.844,29,75300,22,10810.05,36,4630,25,663.964,44,320,14,45.221,18,70,27,9.475,40,state_data_2013-2023_20250514_3.csv
Tennessee,2022,7062217,10820,19,1532.238,29,5330,19,754.013,31,5500,17,778.226,28,257260,21,36427.796,28,6720,23,951.118,40,500,22,70.799,28,210,22,30.019,29,state_data_2013-2023_20250514_3.csv
Tennessee,2023,7148304,12360,19,1728.942,30,5720,22,800.05,32,6640,18,928.892,27,423410,20,59231.952,25,6560,24,917.56,41,1100,23,154.162,32,330,15,46.165,19,state_data_2013-2023_20250514_3.csv
Texas,2013,26480266,92670,4,3499.738,10,53130,4,2006.513,8,39540,3,1493.225,12,7605580,3,287216.828,8,57950,4,2188.309,14,7470,1,281.946,14,810,6,30.4,13,state_data_2013-2023_20250514_3.csv
Texas,2014,26964333,95300,4,3534.113,10,52290,4,1939.303,9,43000,3,1594.81,12,5248780,4,194656.363,9,52880,4,1961.072,14,7210,1,267.353,16,850,5,31.634,13,state_data_2013-2023_20250514_3.csv
Texas,2015,27470056,99730,4,3630.389,10,53280,3,1939.676,8,46440,3,1690.714,13,5064470,4,184363.403,9,65470,4,2383.213,12,7480,1,272.26,16,1120,4,40.626,14,state_data_2013-2023_20250514_3.csv
Texas,2016,27914410,110650,4,3963.938,10,56490,4,2023.686,8,54160,3,1940.252,13,5167690,4,185126.177,10,63950,4,2290.752,14,7800,2,279.533,26,890,4,31.776,15,state_data_2013-2023_20250514_3.csv
Texas,2017,28295273,110130,4,3892.028,9,59910,3,2117.209,8,50220,3,1774.819,14,7530880,4,266153.255,9,50550,4,1786.588,15,4770,2,168.403,24,1140,4,40.431,19,state_data_2013-2023_20250514_3.csv
Texas,2018,28628666,104520,4,3650.711,10,58190,3,2032.683,8,46320,3,1618.029,13,8946050,3,312485.779,9,64690,4,2259.449,10,1670,1,58.298,31,2270,4,79.326,16,state_data_2013-2023_20250514_3.csv
Texas,2019,28995881,107960,4,3723.115,7,68550,3,2364.06,6,39410,3,1359.055,13,9461550,3,326306.726,9,97680,2,3368.582,5,2430,1,83.908,30,2480,5,85.598,18,state_data_2013-2023_20250514_3.csv
Texas,2020,29239570,74570,3,2550.14,8,50580,2,1729.745,7,23990,3,820.395,13,4634080,3,158486.496,9,66940,3,2289.432,8,910,3,30.951,30,1480,5,50.616,23,state_data_2013-2023_20250514_3.csv
Texas,2021,29570351,78870,3,2667.3,9,55900,3,1890.306,8,22980,3,776.994,9,2002630,2,67724.323,4,77030,4,2604.805,11,930,2,31.417,28,750,6,25.262,23,state_data_2013-2023_20250514_3.csv
Texas,2022,30113488,109720,4,3643.55,9,62870,2,2087.868,8,46850,4,1555.682,10,5766530,3,191493.194,9,106120,2,3524.102,9,2110,2,70.035,29,1620,5,53.83,20,state_data_2013-2023_20250514_3.csv
Texas,2023,30727890,126930,4,4130.612,6,74010,3,2408.691,7,52910,4,1721.921,11,8473460,3,275758.049,9,100290,2,3263.843,10,5050,1,164.346,30,2260,2,73.484,8,state_data_2013-2023_20250514_3.csv
Utah,2013,2897640,5500,27,1899.132,24,3700,25,1277.246,21,1800,32,621.885,29,157970,29,54516.434,26,3030,30,1044.298,29,1190,22,410.334,8,20,39,6.212,44,state_data_2013-2023_20250514_3.csv
Utah,2014,2936879,6170,25,2099.508,21,4290,23,1461.756,14,1870,32,637.752,30,166270,29,56615.203,27,4310,24,1468.906,19,1090,23,369.44,10,30,30,10.215,30,state_data_2013-2023_20250514_3.csv
Utah,2015,2981835,6880,24,2308.31,21,4750,24,1593.65,14,2130,32,714.661,29,187600,29,62913.273,26,4840,23,1622.491,20,1110,24,371.919,9,30,36,10.061,40,state_data_2013-2023_20250514_3.csv
Utah,2016,3041868,7270,24,2390.308,22,4610,25,1513.872,15,2670,31,876.435,28,209120,29,68745.915,23,3780,28,1241.014,27,1190,25,391.864,12,20,41,5.917,46,state_data_2013-2023_20250514_3.csv
Utah,2017,3101042,6390,27,2060.598,26,4090,26,1317.944,19,2300,34,742.654,33,240830,29,77659.703,21,3140,33,1012.885,33,710,25,230.245,14,40,39,13.221,41,state_data_2013-2023_20250514_3.csv
Utah,2018,3153550,5720,29,1814.78,31,3470,29,1099.396,28,2260,32,715.384,31,258450,29,81953.988,21,3410,32,1080.687,34,320,28,101.473,16,210,23,65.64,18,state_data_2013-2023_20250514_3.csv
Utah,2019,3205958,6840,26,2132.904,22,4930,24,1538.698,13,1910,34,594.206,33,257890,29,80441.478,21,5370,26,1673.447,21,460,26,144.419,12,390,20,120.089,10,state_data_2013-2023_20250514_3.csv
Utah,2020,3284077,5420,25,1650.692,19,4380,23,1334.622,11,1040,35,316.071,34,118530,28,36092.333,22,5230,22,1591.315,17,190,24,56.941,8,330,18,100.485,6,state_data_2013-2023_20250514_3.csv
Utah,2021,3339738,5550,24,1662.406,20,4340,24,1299.803,16,1210,26,362.603,32,65490,25,19608.125,21,3960,27,1186.021,29,180,25,54.795,11,220,16,66.472,8,state_data_2013-2023_20250514_3.csv
Utah,2022,3391011,6050,27,1785.013,24,3710,25,1094.954,20,2340,28,690.06,31,176680,28,52102.456,20,4790,28,1411.673,27,450,25,133.294,8,440,12,130.05,6,state_data_2013-2023_20250514_3.csv
Utah,2023,3443222,7330,25,2129.691,24,4760,24,1383.588,18,2570,30,746.104,34,249190,27,72370.588,20,6650,23,1931.911,22,890,24,258.479,11,110,29,31.076,30,state_data_2013-2023_20250514_3.csv
Vermont,2013,626210,840,49,1338.209,33,610,48,972.517,32,230,50,365.692,45,65970,42,105340.062,16,500,48,792.067,37,320,36,514.205,5,0,,0.0,,state_data_2013-2023_20250514_3.csv
Vermont,2014,625214,790,49,1265.167,37,620,49,983.663,26,180,52,281.504,49,57280,44,91618.23,17,550,48,882.898,33,320,37,507.026,5,10,46,11.196,28,state_data_2013-2023_20250514_3.csv
Vermont,2015,625216,790,49,1266.762,39,540,49,863.702,36,250,51,403.061,47,55020,44,87993.589,17,570,47,911.685,33,310,37,499.028,5,0,,0.0,,state_data_2013-2023_20250514_3.csv
Vermont,2016,623657,890,50,1420.653,40,620,49,994.136,30,270,50,426.516,49,53970,46,86533.142,17,590,49,944.429,33,390,37,618.93,4,0,,0.0,,state_data_2013-2023_20250514_3.csv
Vermont,2017,624344,790,49,1260.523,40,530,49,853.696,36,250,50,406.827,47,58250,46,93296.324,17,760,46,1217.278,27,240,38,376.395,4,20,46,27.229,27,state_data_2013-2023_20250514_3.csv
Vermont,2018,624358,820,49,1319.756,39,620,47,994.622,30,200,51,325.134,48,61690,45,98808.696,18,690,47,1109.94,33,130,35,213.019,3,30,43,49.651,28,state_data_2013-2023_20250514_3.csv
Vermont,2019,623989,650,50,1038.48,43,460,50,735.59,40,190,50,302.89,47,62050,44,99434.445,18,610,49,983.992,36,110,39,182.696,6,20,48,24.039,40,state_data_2013-2023_20250514_3.csv
Vermont,2020,642977,500,51,769.856,40,360,51,566.117,40,130,50,203.74,47,27250,45,42377.877,20,390,49,608.109,44,20,42,35.771,22,10,51,10.887,45,state_data_2013-2023_20250514_3.csv
Vermont,2021,647210,420,50,653.575,45,270,50,414.085,46,160,50,239.49,41,12960,48,20027.503,19,590,49,913.15,37,50,36,72.619,4,0,,0.0,,state_data_2013-2023_20250514_3.csv
Vermont,2022,648142,520,50,806.922,45,310,50,470.576,44,220,50,336.346,47,37200,46,57387.116,19,710,48,1089.267,37,90,35,140.401,6,0,,0.0,,state_data_2013-2023_20250514_3.csv
Vermont,2023,648708,640,50,983.493,46,360,51,556.491,46,280,50,427.003,47,55200,46,85098.38,18,750,49,1159.227,34,320,35,491.747,2,50,39,83.242,6,state_data_2013-2023_20250514_3.csv
Virginia,2013,8252427,27860,8,3376.098,11,15340,7,1858.968,10,12520,8,1517.129,11,471690,17,57157.731,24,22280,7,2699.691,9,1470,19,178.372,31,1120,4,135.839,5,state_data_2013-2023_20250514_3.csv
Virginia,2014,8310993,28480,8,3426.426,11,13790,8,1659.729,11,14680,8,1766.696,10,506690,16,60965.88,24,19650,8,2363.857,8,1310,20,157.623,36,850,6,102.034,6,state_data_2013-2023_20250514_3.csv
Virginia,2015,8361808,27620,8,3303.353,13,12780,10,1528.019,17,14850,8,1775.334,11,546390,16,65343.643,23,18390,9,2199.405,13,1310,22,156.904,34,900,6,107.154,8,state_data_2013-2023_20250514_3.csv
Virginia,2016,8410106,29240,9,3477.007,14,12550,10,1492.49,17,16690,8,1984.517,12,569840,16,67756.697,25,20440,9,2430.053,13,1470,22,174.909,35,760,6,90.13,7,state_data_2013-2023_20250514_3.csv
Virginia,2017,8463587,29470,8,3481.503,13,11590,12,1369.868,17,17870,8,2111.634,9,585220,17,69145.505,26,21930,8,2591.1,9,1040,21,123.234,34,900,6,106.102,6,state_data_2013-2023_20250514_3.csv
Virginia,2018,8501286,27430,8,3226.1,15,12350,10,1452.251,17,15080,8,1773.849,10,585380,17,68857.7,27,18120,9,2131.207,11,430,22,50.698,34,940,9,111.042,11,state_data_2013-2023_20250514_3.csv
Virginia,2019,8535519,24780,11,2903.631,15,11240,12,1317.085,20,13540,8,1586.547,9,591560,17,69305.452,26,23350,8,2735.042,11,550,23,64.202,35,1200,7,140.472,8,state_data_2013-2023_20250514_3.csv
Virginia,2020,8637615,18180,10,2105.095,13,9180,11,1063.256,15,9000,7,1041.839,6,247320,18,28633.367,26,17360,10,2009.814,12,240,19,28.249,32,770,8,89.608,9,state_data_2013-2023_20250514_3.csv
Virginia,2021,8658910,20430,9,2359.188,11,12830,10,1481.942,12,7600,7,877.247,7,152930,16,17661.345,23,20730,8,2394.297,15,270,18,31.413,29,630,7,73.104,7,state_data_2013-2023_20250514_3.csv
Virginia,2022,8683414,28900,9,3328.414,10,14760,10,1699.907,10,14140,8,1628.507,8,381920,17,43982.47,25,27320,9,3146.689,11,640,15,73.243,22,1690,4,194.854,4,state_data_2013-2023_20250514_3.csv
Virginia,2023,8734685,29600,10,3388.216,13,12890,11,1476.069,14,16700,9,1912.147,9,514310,18,58881.001,26,23940,10,2740.568,11,1380,20,157.991,31,1940,3,222.446,1,state_data_2013-2023_20250514_3.csv
Washington,2013,6963985,22990,12,3301.845,12,13560,10,1946.874,9,9440,12,1354.971,15,1415060,8,203197.307,10,17590,12,2525.709,12,2410,11,346.641,11,360,9,51.12,9,state_data_2013-2023_20250514_3.csv
Washington,2014,7054655,22710,12,3219.151,12,13020,10,1845.732,10,9690,12,1373.419,15,1141460,10,161801.817,12,12250,12,1735.875,15,2480,11,351.966,11,320,9,45.077,10,state_data_2013-2023_20250514_3.csv
Washington,2015,7163657,24770,11,3457.033,11,14530,7,2027.596,7,10240,12,1429.438,15,1174100,10,163896.038,12,14340,12,2001.91,16,2620,10,365.875,10,590,8,82.919,10,state_data_2013-2023_20250514_3.csv
Washington,2016,7294771,27300,10,3742.955,12,15050,9,2062.847,7,12260,12,1680.108,15,1225590,11,168009.798,11,21660,8,2968.565,8,3230,8,442.783,10,600,7,82.251,8,state_data_2013-2023_20250514_3.csv
Washington,2017,7423362,27360,10,3686.066,12,14130,8,1902.777,9,13240,11,1783.289,13,1364520,10,183814.288,12,16030,11,2159.399,12,2920,4,393.353,3,670,8,90.525,8,state_data_2013-2023_20250514_3.csv
Washington,2018,7523869,26030,11,3459.523,12,14660,8,1947.934,9,11370,12,1511.589,15,1508850,9,200541.902,11,14750,11,1959.763,14,1540,2,204.283,5,840,10,111.246,10,state_data_2013-2023_20250514_3.csv
Washington,2019,7614893,25570,9,3357.894,11,15250,8,2002.392,9,10320,12,1355.502,14,1520810,9,199715.479,11,18510,12,2430.763,14,1950,2,255.421,3,850,10,111.755,12,state_data_2013-2023_20250514_3.csv
Washington,2020,7727209,21550,8,2788.717,6,15170,7,1962.804,4,6380,13,825.913,12,625320,9,80923.785,12,15970,11,2066.594,11,1120,2,144.425,1,520,14,67.295,14,state_data_2013-2023_20250514_3.csv
Washington,2021,7743760,22150,8,2859.722,7,16780,7,2167.164,6,5360,12,692.558,13,243100,11,31393.406,14,19510,11,2519.577,13,480,7,61.985,7,320,14,41.453,14,state_data_2013-2023_20250514_3.csv
Washington,2022,7794123,31840,8,4084.488,6,21710,6,2785.175,2,10130,13,1299.312,14,829310,10,106401.708,12,31040,7,3982.616,5,1240,5,159.479,4,640,10,81.985,14,state_data_2013-2023_20250514_3.csv
Washington,2023,7857320,32190,9,4096.562,8,19990,6,2543.615,6,12200,12,1552.947,14,1462060,8,186075.787,10,26280,7,3344.27,8,2440,10,310.411,7,480,10,61.09,12,state_data_2013-2023_20250514_3.csv
West Virginia,2013,1853914,760,50,409.944,52,480,50,257.833,51,280,49,152.111,52,17590,51,9488.035,52,440,50,238.954,52,30,44,13.485,45,30,32,17.8,23,state_data_2013-2023_20250514_3.csv
West Virginia,2014,1849489,780,50,423.36,52,410,50,222.764,52,370,47,200.596,51,19230,51,10396.385,52,420,50,224.386,52,30,45,15.139,45,20,37,9.192,32,state_data_2013-2023_20250514_3.csv
West Virginia,2015,1842050,790,50,426.699,52,420,50,227.464,52,370,49,199.235,51,20490,51,11125.648,52,500,50,271.98,51,30,44,16.829,44,10,45,5.972,42,state_data_2013-2023_20250514_3.csv
West Virginia,2016,1831023,930,49,506.821,52,530,50,288.91,50,400,49,217.911,52,21850,51,11933.22,52,500,50,270.341,52,30,45,13.654,45,10,46,5.461,47,state_data_2013-2023_20250514_3.csv
West Virginia,2017,1817004,780,50,427.077,52,410,50,222.894,52,370,49,204.182,51,23580,51,12978.507,52,560,50,308.2,50,10,47,7.155,47,10,50,3.852,51,state_data_2013-2023_20250514_3.csv
West Virginia,2018,1804291,680,50,374.108,52,360,50,197.307,51,320,49,176.801,52,24360,51,13503.365,52,570,49,317.576,52,0,,0.0,,10,49,6.097,49,state_data_2013-2023_20250514_3.csv
West Virginia,2019,1792147,820,49,455.878,52,480,49,267.277,51,340,49,188.601,51,38130,50,21278.388,51,490,50,274.531,52,0,,0.0,,10,52,3.906,51,state_data_2013-2023_20250514_3.csv
West Virginia,2020,1791646,550,49,305.306,52,390,50,219.351,51,150,49,85.954,52,11770,51,6569.378,52,320,50,177.49,52,0,,0.0,,10,50,4.465,50,state_data_2013-2023_20250514_3.csv
West Virginia,2021,1785618,490,49,276.655,52,310,49,174.169,52,180,49,102.486,52,8210,50,4595.048,52,490,50,272.175,52,0,,0.0,,0,,0.0,,state_data_2013-2023_20250514_3.csv
West Virginia,2022,1774122,810,47,458.819,51,540,46,304.376,50,270,49,154.443,51,17230,51,9710.719,52,660,49,372.015,50,10,47,7.328,45,10,48,5.073,49,state_data_2013-2023_20250514_3.csv
West Virginia,2023,1770495,770,49,435.471,52,440,49,249.648,51,330,49,185.824,51,23550,51,13302.495,52,570,50,320.249,52,0,,0.0,,10,49,4.519,50,state_data_2013-2023_20250514_3.csv
Wisconsin,2013,5736754,5920,26,1031.594,42,3590,26,625.266,42,2330,26,406.327,42,157130,30,27389.705,43,4530,25,789.994,38,940,24,164.204,33,50,26,9.239,38,state_data_2013-2023_20250514_3.csv
Wisconsin,2014,5751525,6000,26,1042.68,42,3620,27,628.703,41,2380,26,413.977,43,165410,30,28760.025,44,3770,27,655.478,41,1130,22,196.296,30,20,33,3.825,42,state_data_2013-2023_20250514_3.csv
Wisconsin,2015,5760940,6660,26,1155.193,41,3990,26,691.901,41,2670,25,463.292,40,178070,31,30910.233,44,3740,28,648.852,43,1420,21,245.62,25,30,37,5.207,44,state_data_2013-2023_20250514_3.csv
Wisconsin,2016,5772628,7110,25,1231.848,43,4030,26,698.122,42,3080,27,533.726,42,190160,31,32940.976,43,3830,27,662.61,45,1690,19,292.934,23,40,30,7.622,43,state_data_2013-2023_20250514_3.csv
Wisconsin,2017,5790186,6680,26,1153.849,43,3810,27,657.665,42,2870,26,496.184,44,208650,30,36035.285,44,3170,31,546.615,44,940,24,162.689,26,90,28,14.68,39,state_data_2013-2023_20250514_3.csv
Wisconsin,2018,5807406,7430,26,1279.917,42,4670,26,804.662,40,2760,25,475.255,41,221710,31,38176.597,42,4720,25,811.894,41,400,24,69.566,26,110,33,18.597,40,state_data_2013-2023_20250514_3.csv
Wisconsin,2019,5822434,7140,24,1225.948,39,4830,25,829.378,36,2310,27,396.57,43,225040,31,38650.159,43,5690,24,977.598,37,600,21,102.363,24,230,23,39.159,33,state_data_2013-2023_20250514_3.csv
Wisconsin,2020,5897375,4530,26,767.291,41,3230,26,547.871,41,1290,27,219.42,45,89800,33,15226.775,47,3560,27,602.98,45,250,17,42.392,17,200,22,33.235,30,state_data_2013-2023_20250514_3.csv
Wisconsin,2021,5881608,5030,25,854.358,39,3650,25,620.409,38,1380,25,233.95,43,49930,29,8489.005,47,5030,24,855.038,39,370,12,63.078,6,140,21,24.483,24,state_data_2013-2023_20250514_3.csv
Wisconsin,2022,5903975,6110,26,1034.727,42,3640,26,616.703,40,2470,27,418.023,43,131340,32,22245.352,44,6130,25,1037.437,39,650,14,109.248,11,140,28,22.866,33,state_data_2013-2023_20250514_3.csv
Wisconsin,2023,5930405,6820,27,1149.669,41,3880,27,653.581,40,2940,27,496.088,43,178150,31,30040.444,43,5210,26,878.018,42,1390,19,234.891,15,80,34,12.815,43,state_data_2013-2023_20250514_3.csv
