state,year,population,source_file,metric_name,measure_type,metric_value
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,naturalizations,per_million_rank,47.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,naturalizations,rank,32.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,naturalizations,total,2830.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million,376.931
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million_rank,49.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,new_arrivals,rank,35.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,new_arrivals,total,1830.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million,31215.822
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million_rank,43.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,nonimmigrants,rank,34.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,nonimmigrants,total,151470.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,refugees,per_million,21.639
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,refugees,per_million_rank,43.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,refugees,rank,43.0
Alabama,2015,4852347,state_data_2013-2023_20250514_3.csv,refugees,total,110.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,adjustments,per_million,492.03
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,adjustments,per_million_rank,47.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,adjustments,rank,34.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,adjustments,total,2390.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,asylees,per_million,3.29
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,asylees,per_million_rank,50.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,asylees,rank,43.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,asylees,total,20.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million,973.779
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million_rank,48.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,rank,35.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,total,4740.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,naturalizations,per_million,479.282
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,naturalizations,per_million_rank,48.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,naturalizations,rank,38.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,naturalizations,total,2330.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million,481.749
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million_rank,47.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,new_arrivals,rank,36.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,new_arrivals,total,2340.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million,31405.411
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million_rank,44.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,nonimmigrants,rank,34.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,nonimmigrants,total,152740.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,refugees,per_million,24.673
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,refugees,per_million_rank,44.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,refugees,rank,43.0
Alabama,2016,4863525,state_data_2013-2023_20250514_3.csv,refugees,total,120.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,adjustments,per_million,390.81
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,adjustments,per_million_rank,48.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,adjustments,rank,35.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,adjustments,total,1910.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,asylees,per_million,8.821
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,asylees,per_million_rank,45.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,asylees,rank,36.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,asylees,total,40.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million,779.775
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million_rank,48.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,rank,37.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,total,3800.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,naturalizations,per_million,214.382
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,naturalizations,per_million_rank,52.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,naturalizations,rank,43.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,naturalizations,total,1050.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million,388.964
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,new_arrivals,per_million_rank,48.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,new_arrivals,rank,37.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,new_arrivals,total,1900.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million,32458.191
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,nonimmigrants,per_million_rank,47.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,nonimmigrants,rank,34.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,nonimmigrants,total,158220.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,refugees,per_million,12.924
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,refugees,per_million_rank,46.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,refugees,rank,44.0
Alabama,2017,4874486,state_data_2013-2023_20250514_3.csv,refugees,total,60.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,adjustments,per_million,414.921
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,adjustments,per_million_rank,47.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,adjustments,rank,35.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,adjustments,total,2030.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,asylees,per_million,11.253
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,asylees,per_million_rank,47.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,asylees,rank,40.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,asylees,total,60.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million,764.575
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,per_million_rank,48.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,rank,37.0
Alabama,2018,4887681,state_data_2013-2023_20250514_3.csv,lawful_permanent_residents,total,3740.0
