year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2023,9,FSC,Afghanistan,CR1,12,2023-09_dos_iv_fsc_pob_visa_class.xlsx,3
2023,9,FSC,Afghanistan,DV,87,2023-09_dos_iv_fsc_pob_visa_class.xlsx,4
2023,9,FSC,Afghanistan,E2,4,2023-09_dos_iv_fsc_pob_visa_class.xlsx,5
2023,9,FSC,Afghanistan,F2A,3,2023-09_dos_iv_fsc_pob_visa_class.xlsx,6
2023,9,FSC,Afghanistan,F4,4,2023-09_dos_iv_fsc_pob_visa_class.xlsx,7
2023,9,FSC,Afghanistan,IR1,16,2023-09_dos_iv_fsc_pob_visa_class.xlsx,8
2023,9,FSC,Afghanistan,IR2,5,2023-09_dos_iv_fsc_pob_visa_class.xlsx,9
2023,9,FSC,Afghanistan,IR5,64,2023-09_dos_iv_fsc_pob_visa_class.xlsx,10
2023,9,FSC,Afghanistan,SB1,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,11
2023,9,FSC,Afghanistan,SI1,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,12
2023,9,FSC,Afghanistan,SI2,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,13
2023,9,FSC,Afghanistan,SI3,5,2023-09_dos_iv_fsc_pob_visa_class.xlsx,14
2023,9,FSC,Afghanistan,SQ1,217,2023-09_dos_iv_fsc_pob_visa_class.xlsx,15
2023,9,FSC,Afghanistan,SQ2,171,2023-09_dos_iv_fsc_pob_visa_class.xlsx,16
2023,9,FSC,Afghanistan,SQ3,469,2023-09_dos_iv_fsc_pob_visa_class.xlsx,17
2023,9,FSC,Albania,CR1,6,2023-09_dos_iv_fsc_pob_visa_class.xlsx,18
2023,9,FSC,Albania,DV,7,2023-09_dos_iv_fsc_pob_visa_class.xlsx,19
2023,9,FSC,Albania,EW,8,2023-09_dos_iv_fsc_pob_visa_class.xlsx,20
2023,9,FSC,Albania,F2B,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,21
2023,9,FSC,Albania,F3,15,2023-09_dos_iv_fsc_pob_visa_class.xlsx,22
2023,9,FSC,Albania,F4,12,2023-09_dos_iv_fsc_pob_visa_class.xlsx,23
2023,9,FSC,Albania,IR1,4,2023-09_dos_iv_fsc_pob_visa_class.xlsx,24
2023,9,FSC,Albania,IR5,48,2023-09_dos_iv_fsc_pob_visa_class.xlsx,25
2023,9,FSC,Albania,SB1,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,26
2023,9,FSC,Algeria,CR1,23,2023-09_dos_iv_fsc_pob_visa_class.xlsx,27
2023,9,FSC,Algeria,IR1,4,2023-09_dos_iv_fsc_pob_visa_class.xlsx,28
2023,9,FSC,Algeria,IR2,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,29
2023,9,FSC,Algeria,IR4,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,30
2023,9,FSC,Algeria,IR5,25,2023-09_dos_iv_fsc_pob_visa_class.xlsx,31
2023,9,FSC,Algeria,SQ2,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,32
2023,9,FSC,Angola,DV,11,2023-09_dos_iv_fsc_pob_visa_class.xlsx,33
2023,9,FSC,Angola,F1,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,34
2023,9,FSC,Angola,IR2,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,35
2023,9,FSC,Antigua and Barbuda,CR1,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,36
2023,9,FSC,Antigua and Barbuda,DV,3,2023-09_dos_iv_fsc_pob_visa_class.xlsx,37
2023,9,FSC,Antigua and Barbuda,F3,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,38
2023,9,FSC,Antigua and Barbuda,IR1,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,39
2023,9,FSC,Antigua and Barbuda,IR2,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,40
2023,9,FSC,Antigua and Barbuda,IR5,6,2023-09_dos_iv_fsc_pob_visa_class.xlsx,41
2023,9,FSC,Argentina,CR1,5,2023-09_dos_iv_fsc_pob_visa_class.xlsx,42
2023,9,FSC,Argentina,DV,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,43
2023,9,FSC,Argentina,E1,13,2023-09_dos_iv_fsc_pob_visa_class.xlsx,44
2023,9,FSC,Argentina,E2,27,2023-09_dos_iv_fsc_pob_visa_class.xlsx,45
2023,9,FSC,Argentina,E3,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,46
2023,9,FSC,Argentina,F2B,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,47
2023,9,FSC,Argentina,F4,5,2023-09_dos_iv_fsc_pob_visa_class.xlsx,48
2023,9,FSC,Argentina,IR1,11,2023-09_dos_iv_fsc_pob_visa_class.xlsx,49
2023,9,FSC,Argentina,IR2,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,50
2023,9,FSC,Argentina,IR5,16,2023-09_dos_iv_fsc_pob_visa_class.xlsx,51
2023,9,FSC,Argentina,SB1,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,52
2023,9,FSC,Armenia,CR1,3,2023-09_dos_iv_fsc_pob_visa_class.xlsx,53
2023,9,FSC,Armenia,CR2,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,54
2023,9,FSC,Armenia,DV,27,2023-09_dos_iv_fsc_pob_visa_class.xlsx,55
2023,9,FSC,Armenia,E1,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,56
2023,9,FSC,Armenia,E2,3,2023-09_dos_iv_fsc_pob_visa_class.xlsx,57
2023,9,FSC,Armenia,F1,7,2023-09_dos_iv_fsc_pob_visa_class.xlsx,58
2023,9,FSC,Armenia,F2A,2,2023-09_dos_iv_fsc_pob_visa_class.xlsx,59
2023,9,FSC,Armenia,F2B,1,2023-09_dos_iv_fsc_pob_visa_class.xlsx,60
