year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file
2024,2,FSC,Afghanistan,CR1,39,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,DV,24,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,E3,7,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,F3,8,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,F4,1,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,FX,8,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,IR1,75,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,IR2,21,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,IR5,149,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,SI1,1,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,SI2,1,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,SQ1,755,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,SQ2,662,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Afghanistan,SQ3,2160,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,CR1,20,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,DV,120,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,E1,5,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,EW,2,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,F1,2,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,F2A,1,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,F4,12,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,GV1,1,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,GV2,1,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,GV3,1,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,IR1,13,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,IR2,2,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Albania,IR5,193,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Algeria,CR1,15,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Algeria,DV,290,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Algeria,F4,1,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Algeria,GV1,13,2024-02_dos_iv_fsc_pob_visa_class.xlsx
2024,2,FSC,Algeria,GV2,9,2024-02_dos_iv_fsc_pob_visa_class.xlsx
