year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file
2025,3,FSC,Afghanistan,CR1,23,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,DV,62,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,E1,4,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,F2A,7,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,F3,18,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,F4,6,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,FX,11,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,IR1,55,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,IR2,18,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,IR5,98,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,SB1,1,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,SQ1,286,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,SQ2,206,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,SQ3,597,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Afghanistan,SW,21,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Albania,CR1,3,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Albania,DV,67,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Albania,E3,4,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Albania,EW,2,2025-03_dos_iv_fsc_pob_visa_class.xlsx
2025,3,FSC,Albania,F2A,2,2025-03_dos_iv_fsc_pob_visa_class.xlsx
