year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2025,2,FSC,Afghanistan,CR1,25,2025-02_dos_iv_fsc_pob_visa_class.xlsx,3
2025,2,FSC,Afghanistan,DV,109,2025-02_dos_iv_fsc_pob_visa_class.xlsx,4
2025,2,FSC,Afghanistan,F1,4,2025-02_dos_iv_fsc_pob_visa_class.xlsx,5
2025,2,FSC,Afghanistan,F2A,5,2025-02_dos_iv_fsc_pob_visa_class.xlsx,6
2025,2,FSC,Afghanistan,F3,3,2025-02_dos_iv_fsc_pob_visa_class.xlsx,7
2025,2,FSC,Afghanistan,F4,4,2025-02_dos_iv_fsc_pob_visa_class.xlsx,8
2025,2,FSC,Afghanistan,FX,5,2025-02_dos_iv_fsc_pob_visa_class.xlsx,9
2025,2,FSC,Afghanistan,IR1,36,2025-02_dos_iv_fsc_pob_visa_class.xlsx,10
2025,2,FSC,Afghanistan,IR2,29,2025-02_dos_iv_fsc_pob_visa_class.xlsx,11
2025,2,FSC,Afghanistan,IR5,75,2025-02_dos_iv_fsc_pob_visa_class.xlsx,12
2025,2,FSC,Afghanistan,SQ1,268,2025-02_dos_iv_fsc_pob_visa_class.xlsx,13
2025,2,FSC,Afghanistan,SQ2,160,2025-02_dos_iv_fsc_pob_visa_class.xlsx,14
2025,2,FSC,Afghanistan,SQ3,460,2025-02_dos_iv_fsc_pob_visa_class.xlsx,15
2025,2,FSC,Afghanistan,SW,14,2025-02_dos_iv_fsc_pob_visa_class.xlsx,16
2025,2,FSC,Albania,CR1,6,2025-02_dos_iv_fsc_pob_visa_class.xlsx,17
2025,2,FSC,Albania,DV,144,2025-02_dos_iv_fsc_pob_visa_class.xlsx,18
2025,2,FSC,Albania,E3,2,2025-02_dos_iv_fsc_pob_visa_class.xlsx,19
2025,2,FSC,Albania,F1,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,20
2025,2,FSC,Albania,F2A,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,21
2025,2,FSC,Albania,F2B,11,2025-02_dos_iv_fsc_pob_visa_class.xlsx,22
2025,2,FSC,Albania,F3,19,2025-02_dos_iv_fsc_pob_visa_class.xlsx,23
2025,2,FSC,Albania,F4,8,2025-02_dos_iv_fsc_pob_visa_class.xlsx,24
2025,2,FSC,Albania,FX,2,2025-02_dos_iv_fsc_pob_visa_class.xlsx,25
2025,2,FSC,Albania,IR1,10,2025-02_dos_iv_fsc_pob_visa_class.xlsx,26
2025,2,FSC,Albania,IR2,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,27
2025,2,FSC,Albania,IR5,107,2025-02_dos_iv_fsc_pob_visa_class.xlsx,28
2025,2,FSC,Algeria,CR1,11,2025-02_dos_iv_fsc_pob_visa_class.xlsx,29
2025,2,FSC,Algeria,DV,285,2025-02_dos_iv_fsc_pob_visa_class.xlsx,30
2025,2,FSC,Algeria,F2A,3,2025-02_dos_iv_fsc_pob_visa_class.xlsx,31
2025,2,FSC,Algeria,IR1,24,2025-02_dos_iv_fsc_pob_visa_class.xlsx,32
2025,2,FSC,Algeria,IR2,2,2025-02_dos_iv_fsc_pob_visa_class.xlsx,33
2025,2,FSC,Algeria,IR5,38,2025-02_dos_iv_fsc_pob_visa_class.xlsx,34
2025,2,FSC,Algeria,SB1,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,35
2025,2,FSC,Angola,CR1,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,36
2025,2,FSC,Angola,DV,15,2025-02_dos_iv_fsc_pob_visa_class.xlsx,37
2025,2,FSC,Angola,F2B,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,38
2025,2,FSC,Angola,F4,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,39
2025,2,FSC,Angola,IR1,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,40
2025,2,FSC,Angola,IR5,3,2025-02_dos_iv_fsc_pob_visa_class.xlsx,41
2025,2,FSC,Anguilla,IR5,2,2025-02_dos_iv_fsc_pob_visa_class.xlsx,42
2025,2,FSC,Antigua and Barbuda,F1,6,2025-02_dos_iv_fsc_pob_visa_class.xlsx,43
2025,2,FSC,Antigua and Barbuda,F2A,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,44
2025,2,FSC,Antigua and Barbuda,F4,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,45
2025,2,FSC,Antigua and Barbuda,IR1,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,46
2025,2,FSC,Antigua and Barbuda,IR2,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,47
2025,2,FSC,Antigua and Barbuda,IR5,3,2025-02_dos_iv_fsc_pob_visa_class.xlsx,48
2025,2,FSC,Antigua and Barbuda,SB1,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,49
2025,2,FSC,Argentina,CR1,3,2025-02_dos_iv_fsc_pob_visa_class.xlsx,50
2025,2,FSC,Argentina,CR2,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,51
2025,2,FSC,Argentina,DV,3,2025-02_dos_iv_fsc_pob_visa_class.xlsx,52
2025,2,FSC,Argentina,E1,2,2025-02_dos_iv_fsc_pob_visa_class.xlsx,53
2025,2,FSC,Argentina,E2,20,2025-02_dos_iv_fsc_pob_visa_class.xlsx,54
2025,2,FSC,Argentina,E3,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,55
2025,2,FSC,Argentina,F1,3,2025-02_dos_iv_fsc_pob_visa_class.xlsx,56
2025,2,FSC,Argentina,F3,5,2025-02_dos_iv_fsc_pob_visa_class.xlsx,57
2025,2,FSC,Argentina,F4,3,2025-02_dos_iv_fsc_pob_visa_class.xlsx,58
2025,2,FSC,Argentina,FX,2,2025-02_dos_iv_fsc_pob_visa_class.xlsx,59
2025,2,FSC,Argentina,I5,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,60
2025,2,FSC,Argentina,IR1,7,2025-02_dos_iv_fsc_pob_visa_class.xlsx,61
2025,2,FSC,Argentina,IR2,4,2025-02_dos_iv_fsc_pob_visa_class.xlsx,62
2025,2,FSC,Argentina,IR5,19,2025-02_dos_iv_fsc_pob_visa_class.xlsx,63
2025,2,FSC,Armenia,CR1,11,2025-02_dos_iv_fsc_pob_visa_class.xlsx,64
2025,2,FSC,Armenia,DV,101,2025-02_dos_iv_fsc_pob_visa_class.xlsx,65
2025,2,FSC,Armenia,E1,6,2025-02_dos_iv_fsc_pob_visa_class.xlsx,66
2025,2,FSC,Armenia,E3,7,2025-02_dos_iv_fsc_pob_visa_class.xlsx,67
2025,2,FSC,Armenia,F1,4,2025-02_dos_iv_fsc_pob_visa_class.xlsx,68
2025,2,FSC,Armenia,F2A,2,2025-02_dos_iv_fsc_pob_visa_class.xlsx,69
2025,2,FSC,Armenia,F2B,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,70
2025,2,FSC,Armenia,F3,29,2025-02_dos_iv_fsc_pob_visa_class.xlsx,71
2025,2,FSC,Armenia,F4,8,2025-02_dos_iv_fsc_pob_visa_class.xlsx,72
2025,2,FSC,Armenia,GV2,1,2025-02_dos_iv_fsc_pob_visa_class.xlsx,73
