year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file
2024,10,FSC,Afghanistan,CR1,15,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,DV,16,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,E2,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,F1,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,F2A,22,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,F2B,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,F3,6,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,F4,16,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,FX,25,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,IR1,39,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,IR2,19,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,IR5,262,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,SQ1,793,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,SQ2,697,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,SQ3,2181,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Afghanistan,SW,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,CR1,12,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,CR2,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,DV,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,E2,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,E3,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,F1,6,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,F2A,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,F2B,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,F3,28,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,F4,69,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,FX,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,IH3,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,IR1,25,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,IR2,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,IR5,184,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,SQ3,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Albania,T5,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,CR1,14,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,DV,223,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,F3,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,FX,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,GV1,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,GV2,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,GV3,7,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,IR1,18,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,IR2,4,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,IR5,21,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Algeria,SB1,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Angola,CR1,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Angola,CR2,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Angola,DV,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Angola,F2B,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Angola,IR2,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Angola,IR5,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Antigua and Barbuda,CR1,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Antigua and Barbuda,CR2,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Antigua and Barbuda,F1,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Antigua and Barbuda,F3,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Antigua and Barbuda,F4,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Antigua and Barbuda,IR1,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Antigua and Barbuda,IR2,7,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Antigua and Barbuda,IR5,6,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,CR1,4,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,DV,4,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,E1,24,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,E2,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,E3,5,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,EW,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,F1,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,F2B,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,F3,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,F4,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,FX,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,I5,11,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,IR1,6,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,IR2,6,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Argentina,IR5,14,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,CR1,7,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,DV,116,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,E1,17,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,F1,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,F2A,5,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,F3,4,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,F4,6,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,FX,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,GV1,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,GV2,2,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,GV3,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,IR1,16,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,IR2,3,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Armenia,IR5,79,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Aruba,IR1,1,2024-10_dos_iv_fsc_pob_visa_class.xlsx
2024,10,FSC,Australia,CR1,9,2024-10_dos_iv_fsc_pob_visa_class.xlsx
