year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file
2024,6,FSC,Afghanistan,CR1,16,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,DV,154,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,E1,2,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,E2,2,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,F1,2,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,F2A,7,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,F2B,2,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,F3,5,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,F4,7,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,FX,13,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,IR1,44,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,IR2,21,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,IR5,265,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,SQ1,554,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,SQ2,444,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Afghanistan,SQ3,1310,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,CR1,11,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,DV,95,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,F1,1,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,F2A,2,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,F2B,9,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,F3,9,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,F4,62,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,IR1,10,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Albania,IR5,112,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,CR1,9,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,DV,272,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,F2A,9,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,F2B,2,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,F4,2,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,FX,2,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,IR1,19,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,IR2,4,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,IR5,21,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Algeria,SB1,1,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Angola,DV,17,2024-06_dos_iv_fsc_pob_visa_class.xlsx
2024,6,FSC,Angola,F1,4,2024-06_dos_iv_fsc_pob_visa_class.xlsx
