year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2023,1,FSC,Afghanistan,CR1,9,2023-01_dos_iv_fsc_pob_visa_class.xlsx,3
2023,1,FSC,Afghanistan,CX,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,4
2023,1,FSC,Afghanistan,DV,32,2023-01_dos_iv_fsc_pob_visa_class.xlsx,5
2023,1,FSC,Afghanistan,E3,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,6
2023,1,FSC,Afghanistan,F1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,7
2023,1,FSC,Afghanistan,F2A,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,8
2023,1,FSC,Afghanistan,F2B,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,9
2023,1,FSC,Afghanistan,F3,5,2023-01_dos_iv_fsc_pob_visa_class.xlsx,10
2023,1,FSC,Afghanistan,F4,5,2023-01_dos_iv_fsc_pob_visa_class.xlsx,11
2023,1,FSC,Afghanistan,FX,29,2023-01_dos_iv_fsc_pob_visa_class.xlsx,12
2023,1,FSC,Afghanistan,IR1,31,2023-01_dos_iv_fsc_pob_visa_class.xlsx,13
2023,1,FSC,Afghanistan,IR2,9,2023-01_dos_iv_fsc_pob_visa_class.xlsx,14
2023,1,FSC,Afghanistan,IR5,67,2023-01_dos_iv_fsc_pob_visa_class.xlsx,15
2023,1,FSC,Afghanistan,IW,8,2023-01_dos_iv_fsc_pob_visa_class.xlsx,16
2023,1,FSC,Afghanistan,SB1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,17
2023,1,FSC,Afghanistan,SI1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,18
2023,1,FSC,Afghanistan,SI2,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,19
2023,1,FSC,Afghanistan,SI3,13,2023-01_dos_iv_fsc_pob_visa_class.xlsx,20
2023,1,FSC,Afghanistan,SQ1,434,2023-01_dos_iv_fsc_pob_visa_class.xlsx,21
2023,1,FSC,Afghanistan,SQ2,370,2023-01_dos_iv_fsc_pob_visa_class.xlsx,22
2023,1,FSC,Afghanistan,SQ3,1037,2023-01_dos_iv_fsc_pob_visa_class.xlsx,23
2023,1,FSC,Albania,CR1,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,24
2023,1,FSC,Albania,DV,18,2023-01_dos_iv_fsc_pob_visa_class.xlsx,25
2023,1,FSC,Albania,EW,6,2023-01_dos_iv_fsc_pob_visa_class.xlsx,26
2023,1,FSC,Albania,F1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,27
2023,1,FSC,Albania,F2B,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,28
2023,1,FSC,Albania,F3,8,2023-01_dos_iv_fsc_pob_visa_class.xlsx,29
2023,1,FSC,Albania,F4,8,2023-01_dos_iv_fsc_pob_visa_class.xlsx,30
2023,1,FSC,Albania,FX,13,2023-01_dos_iv_fsc_pob_visa_class.xlsx,31
2023,1,FSC,Albania,IR1,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,32
2023,1,FSC,Albania,IR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,33
2023,1,FSC,Albania,IR5,44,2023-01_dos_iv_fsc_pob_visa_class.xlsx,34
2023,1,FSC,Algeria,CR1,6,2023-01_dos_iv_fsc_pob_visa_class.xlsx,35
2023,1,FSC,Algeria,CX,5,2023-01_dos_iv_fsc_pob_visa_class.xlsx,36
2023,1,FSC,Algeria,DV,193,2023-01_dos_iv_fsc_pob_visa_class.xlsx,37
2023,1,FSC,Algeria,FX,19,2023-01_dos_iv_fsc_pob_visa_class.xlsx,38
2023,1,FSC,Algeria,IR1,16,2023-01_dos_iv_fsc_pob_visa_class.xlsx,39
2023,1,FSC,Algeria,IR5,20,2023-01_dos_iv_fsc_pob_visa_class.xlsx,40
2023,1,FSC,Algeria,SB1,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,41
2023,1,FSC,Angola,DV,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,42
2023,1,FSC,Angola,IR1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,43
2023,1,FSC,Angola,IR2,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,44
2023,1,FSC,Angola,IR5,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,45
2023,1,FSC,Antigua and Barbuda,CR1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,46
2023,1,FSC,Antigua and Barbuda,CR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,47
2023,1,FSC,Antigua and Barbuda,E3,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,48
2023,1,FSC,Antigua and Barbuda,F1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,49
2023,1,FSC,Antigua and Barbuda,F4,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,50
2023,1,FSC,Antigua and Barbuda,IR1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,51
2023,1,FSC,Antigua and Barbuda,IR2,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,52
2023,1,FSC,Antigua and Barbuda,IR5,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,53
2023,1,FSC,Argentina,CR1,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,54
2023,1,FSC,Argentina,CR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,55
2023,1,FSC,Argentina,DV,9,2023-01_dos_iv_fsc_pob_visa_class.xlsx,56
2023,1,FSC,Argentina,E2,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,57
2023,1,FSC,Argentina,EW,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,58
2023,1,FSC,Argentina,F1,6,2023-01_dos_iv_fsc_pob_visa_class.xlsx,59
2023,1,FSC,Argentina,F4,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,60
2023,1,FSC,Argentina,FX,9,2023-01_dos_iv_fsc_pob_visa_class.xlsx,61
2023,1,FSC,Argentina,IB1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,62
2023,1,FSC,Argentina,IR1,8,2023-01_dos_iv_fsc_pob_visa_class.xlsx,63
2023,1,FSC,Argentina,IR2,8,2023-01_dos_iv_fsc_pob_visa_class.xlsx,64
2023,1,FSC,Argentina,IR5,14,2023-01_dos_iv_fsc_pob_visa_class.xlsx,65
2023,1,FSC,Armenia,CR1,6,2023-01_dos_iv_fsc_pob_visa_class.xlsx,66
2023,1,FSC,Armenia,DV,131,2023-01_dos_iv_fsc_pob_visa_class.xlsx,67
2023,1,FSC,Armenia,E1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,68
2023,1,FSC,Armenia,F1,13,2023-01_dos_iv_fsc_pob_visa_class.xlsx,69
2023,1,FSC,Armenia,F2B,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,70
2023,1,FSC,Armenia,FX,13,2023-01_dos_iv_fsc_pob_visa_class.xlsx,71
2023,1,FSC,Armenia,IR1,5,2023-01_dos_iv_fsc_pob_visa_class.xlsx,72
2023,1,FSC,Armenia,IR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,73
2023,1,FSC,Armenia,IR5,35,2023-01_dos_iv_fsc_pob_visa_class.xlsx,74
2023,1,FSC,Australia,CR1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,75
2023,1,FSC,Australia,DV,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,76
2023,1,FSC,Australia,E1,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,77
2023,1,FSC,Australia,E2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,78
2023,1,FSC,Australia,E3,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,79
2023,1,FSC,Australia,IR1,10,2023-01_dos_iv_fsc_pob_visa_class.xlsx,80
2023,1,FSC,Australia,SB1,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,81
2023,1,FSC,Austria,E2,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,82
2023,1,FSC,Austria,IR1,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,83
2023,1,FSC,Austria,IR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,84
2023,1,FSC,Austria,IR5,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,85
2023,1,FSC,Austria,SB1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,86
2023,1,FSC,Azerbaijan,CR1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,87
2023,1,FSC,Azerbaijan,DV,34,2023-01_dos_iv_fsc_pob_visa_class.xlsx,88
2023,1,FSC,Azerbaijan,E3,5,2023-01_dos_iv_fsc_pob_visa_class.xlsx,89
2023,1,FSC,Azerbaijan,FX,9,2023-01_dos_iv_fsc_pob_visa_class.xlsx,90
2023,1,FSC,Azerbaijan,IR1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,91
2023,1,FSC,Azerbaijan,IR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,92
2023,1,FSC,Azerbaijan,IR5,14,2023-01_dos_iv_fsc_pob_visa_class.xlsx,93
2023,1,FSC,"Bahamas, The",CR1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,94
2023,1,FSC,"Bahamas, The",DV,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,95
2023,1,FSC,"Bahamas, The",FX,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,96
2023,1,FSC,"Bahamas, The",IR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,97
2023,1,FSC,"Bahamas, The",IR5,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,98
2023,1,FSC,Bahrain,CR1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,99
2023,1,FSC,Bahrain,E3,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,100
2023,1,FSC,Bahrain,F3,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,101
2023,1,FSC,Bahrain,IR1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,102
2023,1,FSC,Bahrain,IR5,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,103
2023,1,FSC,Bangladesh,CR1,22,2023-01_dos_iv_fsc_pob_visa_class.xlsx,104
2023,1,FSC,Bangladesh,CR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,105
2023,1,FSC,Bangladesh,E3,4,2023-01_dos_iv_fsc_pob_visa_class.xlsx,106
2023,1,FSC,Bangladesh,EW,6,2023-01_dos_iv_fsc_pob_visa_class.xlsx,107
2023,1,FSC,Bangladesh,F1,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,108
2023,1,FSC,Bangladesh,F2B,7,2023-01_dos_iv_fsc_pob_visa_class.xlsx,109
2023,1,FSC,Bangladesh,F3,30,2023-01_dos_iv_fsc_pob_visa_class.xlsx,110
2023,1,FSC,Bangladesh,F4,808,2023-01_dos_iv_fsc_pob_visa_class.xlsx,111
2023,1,FSC,Bangladesh,FX,30,2023-01_dos_iv_fsc_pob_visa_class.xlsx,112
2023,1,FSC,Bangladesh,IR1,111,2023-01_dos_iv_fsc_pob_visa_class.xlsx,113
2023,1,FSC,Bangladesh,IR2,19,2023-01_dos_iv_fsc_pob_visa_class.xlsx,114
2023,1,FSC,Bangladesh,IR4,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,115
2023,1,FSC,Bangladesh,IR5,205,2023-01_dos_iv_fsc_pob_visa_class.xlsx,116
2023,1,FSC,Bangladesh,SB1,10,2023-01_dos_iv_fsc_pob_visa_class.xlsx,117
2023,1,FSC,Barbados,CR1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,118
2023,1,FSC,Barbados,F2B,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,119
2023,1,FSC,Barbados,FX,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,120
2023,1,FSC,Barbados,IR1,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,121
2023,1,FSC,Barbados,IR2,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,122
2023,1,FSC,Barbados,IR5,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,123
2023,1,FSC,Belarus,CR1,3,2023-01_dos_iv_fsc_pob_visa_class.xlsx,124
2023,1,FSC,Belarus,DV,57,2023-01_dos_iv_fsc_pob_visa_class.xlsx,125
2023,1,FSC,Belarus,E2,2,2023-01_dos_iv_fsc_pob_visa_class.xlsx,126
2023,1,FSC,Belarus,FX,13,2023-01_dos_iv_fsc_pob_visa_class.xlsx,127
2023,1,FSC,Belarus,IR1,1,2023-01_dos_iv_fsc_pob_visa_class.xlsx,128
