year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2024,8,FSC,Afghanistan,CR1,18,2024-08_dos_iv_fsc_pob_visa_class.xlsx,3
2024,8,FSC,Afghanistan,DV,217,2024-08_dos_iv_fsc_pob_visa_class.xlsx,4
2024,8,FSC,Afghanistan,E1,3,2024-08_dos_iv_fsc_pob_visa_class.xlsx,5
2024,8,FSC,Afghanistan,F1,2,2024-08_dos_iv_fsc_pob_visa_class.xlsx,6
2024,8,FSC,Afghanistan,F2A,15,2024-08_dos_iv_fsc_pob_visa_class.xlsx,7
2024,8,FSC,Afghanistan,F2B,2,2024-08_dos_iv_fsc_pob_visa_class.xlsx,8
2024,8,FSC,Afghanistan,F3,19,2024-08_dos_iv_fsc_pob_visa_class.xlsx,9
2024,8,FSC,Afghanistan,F4,6,2024-08_dos_iv_fsc_pob_visa_class.xlsx,10
2024,8,FSC,Afghanistan,FX,17,2024-08_dos_iv_fsc_pob_visa_class.xlsx,11
2024,8,FSC,Afghanistan,IR1,24,2024-08_dos_iv_fsc_pob_visa_class.xlsx,12
2024,8,FSC,Afghanistan,IR2,10,2024-08_dos_iv_fsc_pob_visa_class.xlsx,13
2024,8,FSC,Afghanistan,IR5,290,2024-08_dos_iv_fsc_pob_visa_class.xlsx,14
2024,8,FSC,Afghanistan,SQ1,641,2024-08_dos_iv_fsc_pob_visa_class.xlsx,15
2024,8,FSC,Afghanistan,SQ2,546,2024-08_dos_iv_fsc_pob_visa_class.xlsx,16
2024,8,FSC,Afghanistan,SQ3,1973,2024-08_dos_iv_fsc_pob_visa_class.xlsx,17
2024,8,FSC,Albania,CR1,9,2024-08_dos_iv_fsc_pob_visa_class.xlsx,18
2024,8,FSC,Albania,DV,162,2024-08_dos_iv_fsc_pob_visa_class.xlsx,19
2024,8,FSC,Albania,EW,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,20
2024,8,FSC,Albania,F1,3,2024-08_dos_iv_fsc_pob_visa_class.xlsx,21
2024,8,FSC,Albania,F2A,77,2024-08_dos_iv_fsc_pob_visa_class.xlsx,22
2024,8,FSC,Albania,F2B,13,2024-08_dos_iv_fsc_pob_visa_class.xlsx,23
2024,8,FSC,Albania,F3,9,2024-08_dos_iv_fsc_pob_visa_class.xlsx,24
2024,8,FSC,Albania,F4,57,2024-08_dos_iv_fsc_pob_visa_class.xlsx,25
2024,8,FSC,Albania,FX,56,2024-08_dos_iv_fsc_pob_visa_class.xlsx,26
2024,8,FSC,Albania,IR1,13,2024-08_dos_iv_fsc_pob_visa_class.xlsx,27
2024,8,FSC,Albania,IR5,41,2024-08_dos_iv_fsc_pob_visa_class.xlsx,28
2024,8,FSC,Albania,SB1,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,29
2024,8,FSC,Albania,SQ3,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,30
2024,8,FSC,Algeria,CR1,14,2024-08_dos_iv_fsc_pob_visa_class.xlsx,31
2024,8,FSC,Algeria,DV,308,2024-08_dos_iv_fsc_pob_visa_class.xlsx,32
2024,8,FSC,Algeria,EW,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,33
2024,8,FSC,Algeria,F1,4,2024-08_dos_iv_fsc_pob_visa_class.xlsx,34
2024,8,FSC,Algeria,F2A,25,2024-08_dos_iv_fsc_pob_visa_class.xlsx,35
2024,8,FSC,Algeria,F2B,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,36
2024,8,FSC,Algeria,F3,2,2024-08_dos_iv_fsc_pob_visa_class.xlsx,37
2024,8,FSC,Algeria,F4,5,2024-08_dos_iv_fsc_pob_visa_class.xlsx,38
2024,8,FSC,Algeria,GV1,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,39
2024,8,FSC,Algeria,GV2,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,40
2024,8,FSC,Algeria,GV3,3,2024-08_dos_iv_fsc_pob_visa_class.xlsx,41
2024,8,FSC,Algeria,IR1,30,2024-08_dos_iv_fsc_pob_visa_class.xlsx,42
2024,8,FSC,Algeria,IR2,8,2024-08_dos_iv_fsc_pob_visa_class.xlsx,43
2024,8,FSC,Algeria,IR5,56,2024-08_dos_iv_fsc_pob_visa_class.xlsx,44
2024,8,FSC,Algeria,SB1,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,45
2024,8,FSC,Angola,DV,27,2024-08_dos_iv_fsc_pob_visa_class.xlsx,46
2024,8,FSC,Angola,E2,6,2024-08_dos_iv_fsc_pob_visa_class.xlsx,47
2024,8,FSC,Angola,IR2,3,2024-08_dos_iv_fsc_pob_visa_class.xlsx,48
2024,8,FSC,Antigua and Barbuda,F1,2,2024-08_dos_iv_fsc_pob_visa_class.xlsx,49
2024,8,FSC,Antigua and Barbuda,FX,1,2024-08_dos_iv_fsc_pob_visa_class.xlsx,50
2024,8,FSC,Argentina,CR1,4,2024-08_dos_iv_fsc_pob_visa_class.xlsx,51
2024,8,FSC,Argentina,CR2,2,2024-08_dos_iv_fsc_pob_visa_class.xlsx,52
2024,8,FSC,Argentina,DV,2,2024-08_dos_iv_fsc_pob_visa_class.xlsx,53
2024,8,FSC,Argentina,E1,13,2024-08_dos_iv_fsc_pob_visa_class.xlsx,54
2024,8,FSC,Argentina,E2,26,2024-08_dos_iv_fsc_pob_visa_class.xlsx,55
2024,8,FSC,Argentina,F1,5,2024-08_dos_iv_fsc_pob_visa_class.xlsx,56
2024,8,FSC,Argentina,F2A,2,2024-08_dos_iv_fsc_pob_visa_class.xlsx,57
2024,8,FSC,Argentina,F2B,3,2024-08_dos_iv_fsc_pob_visa_class.xlsx,58
