year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2022,11,FSC,Afghanistan,CR1,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,3
2022,11,FSC,Afghanistan,DV,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,4
2022,11,FSC,Afghanistan,F1,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,5
2022,11,FSC,Afghanistan,F2B,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,6
2022,11,FSC,Afghanistan,F3,3,2022-11_dos_iv_fsc_pob_visa_class.xlsx,7
2022,11,FSC,Afghanistan,F4,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,8
2022,11,FSC,Afghanistan,FX,35,2022-11_dos_iv_fsc_pob_visa_class.xlsx,9
2022,11,FSC,Afghanistan,IR1,27,2022-11_dos_iv_fsc_pob_visa_class.xlsx,10
2022,11,FSC,Afghanistan,IR2,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,11
2022,11,FSC,Afghanistan,IR5,47,2022-11_dos_iv_fsc_pob_visa_class.xlsx,12
2022,11,FSC,Afghanistan,SB1,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,13
2022,11,FSC,Afghanistan,SI1,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,14
2022,11,FSC,Afghanistan,SI2,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,15
2022,11,FSC,Afghanistan,SI3,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,16
2022,11,FSC,Afghanistan,SQ1,236,2022-11_dos_iv_fsc_pob_visa_class.xlsx,17
2022,11,FSC,Afghanistan,SQ2,192,2022-11_dos_iv_fsc_pob_visa_class.xlsx,18
2022,11,FSC,Afghanistan,SQ3,517,2022-11_dos_iv_fsc_pob_visa_class.xlsx,19
2022,11,FSC,Albania,CR1,5,2022-11_dos_iv_fsc_pob_visa_class.xlsx,20
2022,11,FSC,Albania,DV,77,2022-11_dos_iv_fsc_pob_visa_class.xlsx,21
2022,11,FSC,Albania,E3,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,22
2022,11,FSC,Albania,EW,23,2022-11_dos_iv_fsc_pob_visa_class.xlsx,23
2022,11,FSC,Albania,F1,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,24
2022,11,FSC,Albania,F2B,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,25
2022,11,FSC,Albania,F4,13,2022-11_dos_iv_fsc_pob_visa_class.xlsx,26
2022,11,FSC,Albania,FX,24,2022-11_dos_iv_fsc_pob_visa_class.xlsx,27
2022,11,FSC,Albania,IR1,5,2022-11_dos_iv_fsc_pob_visa_class.xlsx,28
2022,11,FSC,Albania,IR2,3,2022-11_dos_iv_fsc_pob_visa_class.xlsx,29
2022,11,FSC,Albania,IR5,72,2022-11_dos_iv_fsc_pob_visa_class.xlsx,30
2022,11,FSC,Albania,IW,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,31
2022,11,FSC,Albania,SE,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,32
2022,11,FSC,Algeria,CR1,6,2022-11_dos_iv_fsc_pob_visa_class.xlsx,33
2022,11,FSC,Algeria,CR2,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,34
2022,11,FSC,Algeria,DV,152,2022-11_dos_iv_fsc_pob_visa_class.xlsx,35
2022,11,FSC,Algeria,FX,10,2022-11_dos_iv_fsc_pob_visa_class.xlsx,36
2022,11,FSC,Algeria,IR1,9,2022-11_dos_iv_fsc_pob_visa_class.xlsx,37
2022,11,FSC,Algeria,IR2,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,38
2022,11,FSC,Algeria,IR5,16,2022-11_dos_iv_fsc_pob_visa_class.xlsx,39
2022,11,FSC,Algeria,SB1,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,40
2022,11,FSC,Algeria,SE,6,2022-11_dos_iv_fsc_pob_visa_class.xlsx,41
2022,11,FSC,Angola,F4,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,42
2022,11,FSC,Angola,FX,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,43
2022,11,FSC,Angola,IR1,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,44
2022,11,FSC,Angola,IR2,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,45
2022,11,FSC,Angola,IR5,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,46
2022,11,FSC,Anguilla,IB1,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,47
2022,11,FSC,Antigua and Barbuda,F1,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,48
2022,11,FSC,Antigua and Barbuda,IR1,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,49
2022,11,FSC,Antigua and Barbuda,IR5,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,50
2022,11,FSC,Argentina,CR1,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,51
2022,11,FSC,Argentina,DV,15,2022-11_dos_iv_fsc_pob_visa_class.xlsx,52
2022,11,FSC,Argentina,E1,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,53
2022,11,FSC,Argentina,E2,9,2022-11_dos_iv_fsc_pob_visa_class.xlsx,54
2022,11,FSC,Argentina,E3,7,2022-11_dos_iv_fsc_pob_visa_class.xlsx,55
2022,11,FSC,Argentina,EW,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,56
2022,11,FSC,Argentina,F1,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,57
2022,11,FSC,Argentina,F2B,3,2022-11_dos_iv_fsc_pob_visa_class.xlsx,58
2022,11,FSC,Argentina,FX,7,2022-11_dos_iv_fsc_pob_visa_class.xlsx,59
2022,11,FSC,Argentina,IR1,3,2022-11_dos_iv_fsc_pob_visa_class.xlsx,60
2022,11,FSC,Argentina,IR2,5,2022-11_dos_iv_fsc_pob_visa_class.xlsx,61
2022,11,FSC,Argentina,IR5,12,2022-11_dos_iv_fsc_pob_visa_class.xlsx,62
2022,11,FSC,Armenia,CR1,7,2022-11_dos_iv_fsc_pob_visa_class.xlsx,63
2022,11,FSC,Armenia,CR2,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,64
2022,11,FSC,Armenia,DV,110,2022-11_dos_iv_fsc_pob_visa_class.xlsx,65
2022,11,FSC,Armenia,E2,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,66
2022,11,FSC,Armenia,F1,17,2022-11_dos_iv_fsc_pob_visa_class.xlsx,67
2022,11,FSC,Armenia,F2B,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,68
2022,11,FSC,Armenia,F3,8,2022-11_dos_iv_fsc_pob_visa_class.xlsx,69
2022,11,FSC,Armenia,FX,12,2022-11_dos_iv_fsc_pob_visa_class.xlsx,70
2022,11,FSC,Armenia,IR1,12,2022-11_dos_iv_fsc_pob_visa_class.xlsx,71
2022,11,FSC,Armenia,IR2,5,2022-11_dos_iv_fsc_pob_visa_class.xlsx,72
2022,11,FSC,Armenia,IR5,73,2022-11_dos_iv_fsc_pob_visa_class.xlsx,73
2022,11,FSC,Armenia,SB1,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,74
2022,11,FSC,Aruba,IW,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,75
2022,11,FSC,Australia,CR1,6,2022-11_dos_iv_fsc_pob_visa_class.xlsx,76
2022,11,FSC,Australia,DV,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,77
2022,11,FSC,Australia,E1,3,2022-11_dos_iv_fsc_pob_visa_class.xlsx,78
2022,11,FSC,Australia,E3,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,79
2022,11,FSC,Australia,F1,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,80
2022,11,FSC,Australia,F4,3,2022-11_dos_iv_fsc_pob_visa_class.xlsx,81
2022,11,FSC,Australia,IR1,14,2022-11_dos_iv_fsc_pob_visa_class.xlsx,82
2022,11,FSC,Australia,IR2,4,2022-11_dos_iv_fsc_pob_visa_class.xlsx,83
2022,11,FSC,Australia,IR5,2,2022-11_dos_iv_fsc_pob_visa_class.xlsx,84
2022,11,FSC,Australia,SB1,11,2022-11_dos_iv_fsc_pob_visa_class.xlsx,85
2022,11,FSC,Austria,CR1,1,2022-11_dos_iv_fsc_pob_visa_class.xlsx,86
