year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2025,1,FSC,Afghanistan,CQ1,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,3
2025,1,FSC,Afghanistan,CR1,25,2025-01_dos_iv_fsc_pob_visa_class.xlsx,4
2025,1,FSC,Afghanistan,DV,40,2025-01_dos_iv_fsc_pob_visa_class.xlsx,5
2025,1,FSC,Afghanistan,EW,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,6
2025,1,FSC,Afghanistan,F1,5,2025-01_dos_iv_fsc_pob_visa_class.xlsx,7
2025,1,FSC,Afghanistan,F2A,19,2025-01_dos_iv_fsc_pob_visa_class.xlsx,8
2025,1,FSC,Afghanistan,F4,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,9
2025,1,FSC,Afghanistan,FX,17,2025-01_dos_iv_fsc_pob_visa_class.xlsx,10
2025,1,FSC,Afghanistan,IR1,36,2025-01_dos_iv_fsc_pob_visa_class.xlsx,11
2025,1,FSC,Afghanistan,IR2,26,2025-01_dos_iv_fsc_pob_visa_class.xlsx,12
2025,1,FSC,Afghanistan,IR5,100,2025-01_dos_iv_fsc_pob_visa_class.xlsx,13
2025,1,FSC,Afghanistan,SI1,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,14
2025,1,FSC,Afghanistan,SI2,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,15
2025,1,FSC,Afghanistan,SI3,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,16
2025,1,FSC,Afghanistan,SQ1,429,2025-01_dos_iv_fsc_pob_visa_class.xlsx,17
2025,1,FSC,Afghanistan,SQ2,333,2025-01_dos_iv_fsc_pob_visa_class.xlsx,18
2025,1,FSC,Afghanistan,SQ3,1074,2025-01_dos_iv_fsc_pob_visa_class.xlsx,19
2025,1,FSC,Afghanistan,SW,5,2025-01_dos_iv_fsc_pob_visa_class.xlsx,20
2025,1,FSC,Albania,CR1,8,2025-01_dos_iv_fsc_pob_visa_class.xlsx,21
2025,1,FSC,Albania,DV,156,2025-01_dos_iv_fsc_pob_visa_class.xlsx,22
2025,1,FSC,Albania,E1,6,2025-01_dos_iv_fsc_pob_visa_class.xlsx,23
2025,1,FSC,Albania,E3,3,2025-01_dos_iv_fsc_pob_visa_class.xlsx,24
2025,1,FSC,Albania,EW,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,25
2025,1,FSC,Albania,F1,6,2025-01_dos_iv_fsc_pob_visa_class.xlsx,26
2025,1,FSC,Albania,F2A,8,2025-01_dos_iv_fsc_pob_visa_class.xlsx,27
2025,1,FSC,Albania,F2B,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,28
2025,1,FSC,Albania,F3,5,2025-01_dos_iv_fsc_pob_visa_class.xlsx,29
2025,1,FSC,Albania,F4,5,2025-01_dos_iv_fsc_pob_visa_class.xlsx,30
2025,1,FSC,Albania,FX,6,2025-01_dos_iv_fsc_pob_visa_class.xlsx,31
2025,1,FSC,Albania,IR1,16,2025-01_dos_iv_fsc_pob_visa_class.xlsx,32
2025,1,FSC,Albania,IR2,4,2025-01_dos_iv_fsc_pob_visa_class.xlsx,33
2025,1,FSC,Albania,IR5,202,2025-01_dos_iv_fsc_pob_visa_class.xlsx,34
2025,1,FSC,Albania,SQ3,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,35
2025,1,FSC,Algeria,CR1,8,2025-01_dos_iv_fsc_pob_visa_class.xlsx,36
2025,1,FSC,Algeria,DV,357,2025-01_dos_iv_fsc_pob_visa_class.xlsx,37
2025,1,FSC,Algeria,F2A,3,2025-01_dos_iv_fsc_pob_visa_class.xlsx,38
2025,1,FSC,Algeria,GV1,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,39
2025,1,FSC,Algeria,GV2,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,40
2025,1,FSC,Algeria,GV3,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,41
2025,1,FSC,Algeria,IR1,11,2025-01_dos_iv_fsc_pob_visa_class.xlsx,42
2025,1,FSC,Algeria,IR2,5,2025-01_dos_iv_fsc_pob_visa_class.xlsx,43
2025,1,FSC,Algeria,IR5,16,2025-01_dos_iv_fsc_pob_visa_class.xlsx,44
2025,1,FSC,Angola,DV,4,2025-01_dos_iv_fsc_pob_visa_class.xlsx,45
2025,1,FSC,Angola,F4,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,46
2025,1,FSC,Angola,GV1,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,47
2025,1,FSC,Angola,GV2,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,48
2025,1,FSC,Angola,GV3,3,2025-01_dos_iv_fsc_pob_visa_class.xlsx,49
2025,1,FSC,Angola,IR1,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,50
2025,1,FSC,Angola,IR2,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,51
2025,1,FSC,Angola,IR5,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,52
2025,1,FSC,Anguilla,IR5,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,53
2025,1,FSC,Antigua and Barbuda,F2A,3,2025-01_dos_iv_fsc_pob_visa_class.xlsx,54
2025,1,FSC,Antigua and Barbuda,F4,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,55
2025,1,FSC,Antigua and Barbuda,IR2,3,2025-01_dos_iv_fsc_pob_visa_class.xlsx,56
2025,1,FSC,Antigua and Barbuda,IR5,3,2025-01_dos_iv_fsc_pob_visa_class.xlsx,57
2025,1,FSC,Argentina,CR1,3,2025-01_dos_iv_fsc_pob_visa_class.xlsx,58
2025,1,FSC,Argentina,DV,16,2025-01_dos_iv_fsc_pob_visa_class.xlsx,59
2025,1,FSC,Argentina,E1,15,2025-01_dos_iv_fsc_pob_visa_class.xlsx,60
2025,1,FSC,Argentina,E2,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,61
2025,1,FSC,Argentina,E3,6,2025-01_dos_iv_fsc_pob_visa_class.xlsx,62
2025,1,FSC,Argentina,EW,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,63
2025,1,FSC,Argentina,F1,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,64
2025,1,FSC,Argentina,F2A,4,2025-01_dos_iv_fsc_pob_visa_class.xlsx,65
2025,1,FSC,Argentina,F3,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,66
2025,1,FSC,Argentina,F4,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,67
2025,1,FSC,Argentina,I5,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,68
2025,1,FSC,Argentina,IR1,9,2025-01_dos_iv_fsc_pob_visa_class.xlsx,69
2025,1,FSC,Argentina,IR2,3,2025-01_dos_iv_fsc_pob_visa_class.xlsx,70
2025,1,FSC,Argentina,IR5,14,2025-01_dos_iv_fsc_pob_visa_class.xlsx,71
2025,1,FSC,Argentina,IW,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,72
2025,1,FSC,Argentina,SB1,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,73
2025,1,FSC,Armenia,CR1,4,2025-01_dos_iv_fsc_pob_visa_class.xlsx,74
2025,1,FSC,Armenia,CR2,2,2025-01_dos_iv_fsc_pob_visa_class.xlsx,75
2025,1,FSC,Armenia,DV,89,2025-01_dos_iv_fsc_pob_visa_class.xlsx,76
2025,1,FSC,Armenia,E1,1,2025-01_dos_iv_fsc_pob_visa_class.xlsx,77
2025,1,FSC,Armenia,E3,7,2025-01_dos_iv_fsc_pob_visa_class.xlsx,78
