year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file
2023,11,FSC,Afghanistan,CR1,11,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,DV,21,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,F3,5,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,FX,4,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,IR1,38,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,IR2,11,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,IR5,92,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,SI1,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,SI2,2,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,SI3,7,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,SQ1,578,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,SQ2,492,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Afghanistan,SQ3,1615,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,CR1,13,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,DV,61,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,EW,5,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,F1,2,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,F2B,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,F4,5,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,IH3,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,IR1,12,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,IR2,2,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,IR5,146,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Albania,SQ3,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Algeria,CR1,24,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Algeria,DV,48,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Algeria,FX,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Algeria,IR1,10,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Algeria,IR2,4,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Algeria,IR5,62,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Algeria,SB1,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Angola,DV,10,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Angola,F1,2,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Angola,IR5,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Antigua and Barbuda,IR1,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Antigua and Barbuda,IR2,2,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Antigua and Barbuda,IR5,3,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,CR1,8,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,CR2,3,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,DV,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,E1,3,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,E2,6,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,E3,9,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,EW,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,F2B,3,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,IR1,12,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,IR2,4,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Argentina,IR5,21,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,CR1,10,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,CR2,2,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,DV,114,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,E1,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,F2B,6,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,F3,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,F4,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,IR1,11,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,IR2,9,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Armenia,IR5,94,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Aruba,IR5,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Australia,CR1,8,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Australia,DV,4,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Australia,E2,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Australia,E3,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Australia,F3,3,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Australia,F4,2,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Australia,IR1,25,2023-11_dos_iv_fsc_pob_visa_class.xlsx
2023,11,FSC,Australia,IR5,1,2023-11_dos_iv_fsc_pob_visa_class.xlsx
