year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2023,10,FSC,Afghanistan,CR1,13,2023-10_dos_iv_fsc_pob_visa_class.xlsx,3
2023,10,FSC,Afghanistan,DV,9,2023-10_dos_iv_fsc_pob_visa_class.xlsx,4
2023,10,FSC,Afghanistan,F1,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,5
2023,10,FSC,Afghanistan,F2A,2,2023-10_dos_iv_fsc_pob_visa_class.xlsx,6
2023,10,FSC,Afghanistan,F2B,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,7
2023,10,FSC,Afghanistan,F3,6,2023-10_dos_iv_fsc_pob_visa_class.xlsx,8
2023,10,FSC,Afghanistan,F4,4,2023-10_dos_iv_fsc_pob_visa_class.xlsx,9
2023,10,FSC,Afghanistan,FX,3,2023-10_dos_iv_fsc_pob_visa_class.xlsx,10
2023,10,FSC,Afghanistan,IR1,32,2023-10_dos_iv_fsc_pob_visa_class.xlsx,11
2023,10,FSC,Afghanistan,IR2,17,2023-10_dos_iv_fsc_pob_visa_class.xlsx,12
2023,10,FSC,Afghanistan,IR5,123,2023-10_dos_iv_fsc_pob_visa_class.xlsx,13
2023,10,FSC,Afghanistan,SB1,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,14
2023,10,FSC,Afghanistan,SI2,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,15
2023,10,FSC,Afghanistan,SI3,4,2023-10_dos_iv_fsc_pob_visa_class.xlsx,16
2023,10,FSC,Afghanistan,SQ1,423,2023-10_dos_iv_fsc_pob_visa_class.xlsx,17
2023,10,FSC,Afghanistan,SQ2,369,2023-10_dos_iv_fsc_pob_visa_class.xlsx,18
2023,10,FSC,Afghanistan,SQ3,1151,2023-10_dos_iv_fsc_pob_visa_class.xlsx,19
2023,10,FSC,Albania,CR1,9,2023-10_dos_iv_fsc_pob_visa_class.xlsx,20
2023,10,FSC,Albania,DV,83,2023-10_dos_iv_fsc_pob_visa_class.xlsx,21
2023,10,FSC,Albania,E1,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,22
2023,10,FSC,Albania,EW,11,2023-10_dos_iv_fsc_pob_visa_class.xlsx,23
2023,10,FSC,Albania,F1,2,2023-10_dos_iv_fsc_pob_visa_class.xlsx,24
2023,10,FSC,Albania,F2B,3,2023-10_dos_iv_fsc_pob_visa_class.xlsx,25
2023,10,FSC,Albania,F3,13,2023-10_dos_iv_fsc_pob_visa_class.xlsx,26
2023,10,FSC,Albania,F4,9,2023-10_dos_iv_fsc_pob_visa_class.xlsx,27
2023,10,FSC,Albania,IR1,7,2023-10_dos_iv_fsc_pob_visa_class.xlsx,28
2023,10,FSC,Albania,IR2,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,29
2023,10,FSC,Albania,IR5,85,2023-10_dos_iv_fsc_pob_visa_class.xlsx,30
2023,10,FSC,Algeria,CR1,21,2023-10_dos_iv_fsc_pob_visa_class.xlsx,31
2023,10,FSC,Algeria,DV,249,2023-10_dos_iv_fsc_pob_visa_class.xlsx,32
2023,10,FSC,Algeria,IR1,7,2023-10_dos_iv_fsc_pob_visa_class.xlsx,33
2023,10,FSC,Algeria,IR2,5,2023-10_dos_iv_fsc_pob_visa_class.xlsx,34
2023,10,FSC,Algeria,IR4,2,2023-10_dos_iv_fsc_pob_visa_class.xlsx,35
2023,10,FSC,Algeria,IR5,46,2023-10_dos_iv_fsc_pob_visa_class.xlsx,36
2023,10,FSC,Angola,CR1,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,37
2023,10,FSC,Angola,DV,2,2023-10_dos_iv_fsc_pob_visa_class.xlsx,38
2023,10,FSC,Angola,F2B,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,39
2023,10,FSC,Angola,F3,1,2023-10_dos_iv_fsc_pob_visa_class.xlsx,40
2023,10,FSC,Angola,IR1,3,2023-10_dos_iv_fsc_pob_visa_class.xlsx,41
2023,10,FSC,Angola,IR2,3,2023-10_dos_iv_fsc_pob_visa_class.xlsx,42
