year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2023,4,FSC,Afghanistan,CR1,11,2023-04_dos_iv_fsc_pob_visa_class.xlsx,3
2023,4,FSC,Afghanistan,CR2,2,2023-04_dos_iv_fsc_pob_visa_class.xlsx,4
2023,4,FSC,Afghanistan,DV,71,2023-04_dos_iv_fsc_pob_visa_class.xlsx,5
2023,4,FSC,Afghanistan,F2A,15,2023-04_dos_iv_fsc_pob_visa_class.xlsx,6
2023,4,FSC,Afghanistan,F3,1,2023-04_dos_iv_fsc_pob_visa_class.xlsx,7
2023,4,FSC,Afghanistan,FX,5,2023-04_dos_iv_fsc_pob_visa_class.xlsx,8
2023,4,FSC,Afghanistan,IR1,12,2023-04_dos_iv_fsc_pob_visa_class.xlsx,9
2023,4,FSC,Afghanistan,IR2,3,2023-04_dos_iv_fsc_pob_visa_class.xlsx,10
2023,4,FSC,Afghanistan,IR5,48,2023-04_dos_iv_fsc_pob_visa_class.xlsx,11
2023,4,FSC,Afghanistan,SQ1,371,2023-04_dos_iv_fsc_pob_visa_class.xlsx,12
2023,4,FSC,Afghanistan,SQ2,307,2023-04_dos_iv_fsc_pob_visa_class.xlsx,13
2023,4,FSC,Afghanistan,SQ3,864,2023-04_dos_iv_fsc_pob_visa_class.xlsx,14
2023,4,FSC,Albania,CR1,20,2023-04_dos_iv_fsc_pob_visa_class.xlsx,15
2023,4,FSC,Albania,DV,107,2023-04_dos_iv_fsc_pob_visa_class.xlsx,16
2023,4,FSC,Albania,EW,1,2023-04_dos_iv_fsc_pob_visa_class.xlsx,17
2023,4,FSC,Albania,F1,1,2023-04_dos_iv_fsc_pob_visa_class.xlsx,18
2023,4,FSC,Albania,F2A,15,2023-04_dos_iv_fsc_pob_visa_class.xlsx,19
2023,4,FSC,Albania,F3,9,2023-04_dos_iv_fsc_pob_visa_class.xlsx,20
2023,4,FSC,Albania,F4,7,2023-04_dos_iv_fsc_pob_visa_class.xlsx,21
2023,4,FSC,Albania,FX,3,2023-04_dos_iv_fsc_pob_visa_class.xlsx,22
2023,4,FSC,Albania,IR1,14,2023-04_dos_iv_fsc_pob_visa_class.xlsx,23
2023,4,FSC,Albania,IR2,3,2023-04_dos_iv_fsc_pob_visa_class.xlsx,24
2023,4,FSC,Albania,IR5,156,2023-04_dos_iv_fsc_pob_visa_class.xlsx,25
2023,4,FSC,Algeria,CR1,18,2023-04_dos_iv_fsc_pob_visa_class.xlsx,26
2023,4,FSC,Algeria,DV,547,2023-04_dos_iv_fsc_pob_visa_class.xlsx,27
2023,4,FSC,Algeria,FX,2,2023-04_dos_iv_fsc_pob_visa_class.xlsx,28
2023,4,FSC,Algeria,IR1,10,2023-04_dos_iv_fsc_pob_visa_class.xlsx,29
2023,4,FSC,Algeria,IR2,7,2023-04_dos_iv_fsc_pob_visa_class.xlsx,30
2023,4,FSC,Algeria,IR5,20,2023-04_dos_iv_fsc_pob_visa_class.xlsx,31
2023,4,FSC,Algeria,SB1,2,2023-04_dos_iv_fsc_pob_visa_class.xlsx,32
2023,4,FSC,Angola,DV,14,2023-04_dos_iv_fsc_pob_visa_class.xlsx,33
2023,4,FSC,Angola,F1,2,2023-04_dos_iv_fsc_pob_visa_class.xlsx,34
2023,4,FSC,Angola,IR1,1,2023-04_dos_iv_fsc_pob_visa_class.xlsx,35
2023,4,FSC,Angola,IR2,1,2023-04_dos_iv_fsc_pob_visa_class.xlsx,36
2023,4,FSC,Angola,IR5,2,2023-04_dos_iv_fsc_pob_visa_class.xlsx,37
2023,4,FSC,Antigua and Barbuda,CR1,1,2023-04_dos_iv_fsc_pob_visa_class.xlsx,38
