year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2025,6,FSC,Afghanistan,CR1,29,2025-06_dos_iv_fsc_pob_visa_class.xlsx,3
2025,6,FSC,Afghanistan,DV,18,2025-06_dos_iv_fsc_pob_visa_class.xlsx,4
2025,6,FSC,Afghanistan,F2A,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,5
2025,6,FSC,Afghanistan,IR1,42,2025-06_dos_iv_fsc_pob_visa_class.xlsx,6
2025,6,FSC,Afghanistan,IR2,20,2025-06_dos_iv_fsc_pob_visa_class.xlsx,7
2025,6,FSC,Afghanistan,IR5,61,2025-06_dos_iv_fsc_pob_visa_class.xlsx,8
2025,6,FSC,Afghanistan,SQ1,191,2025-06_dos_iv_fsc_pob_visa_class.xlsx,9
2025,6,FSC,Afghanistan,SQ2,148,2025-06_dos_iv_fsc_pob_visa_class.xlsx,10
2025,6,FSC,Afghanistan,SQ3,409,2025-06_dos_iv_fsc_pob_visa_class.xlsx,11
2025,6,FSC,Afghanistan,SW,4,2025-06_dos_iv_fsc_pob_visa_class.xlsx,12
2025,6,FSC,Albania,CR1,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,13
2025,6,FSC,Albania,DV,47,2025-06_dos_iv_fsc_pob_visa_class.xlsx,14
2025,6,FSC,Albania,E2,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,15
2025,6,FSC,Albania,F1,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,16
2025,6,FSC,Albania,F2B,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,17
2025,6,FSC,Albania,F3,16,2025-06_dos_iv_fsc_pob_visa_class.xlsx,18
2025,6,FSC,Albania,F4,39,2025-06_dos_iv_fsc_pob_visa_class.xlsx,19
2025,6,FSC,Albania,IR1,7,2025-06_dos_iv_fsc_pob_visa_class.xlsx,20
2025,6,FSC,Albania,IR2,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,21
2025,6,FSC,Albania,IR5,40,2025-06_dos_iv_fsc_pob_visa_class.xlsx,22
2025,6,FSC,Albania,SB1,3,2025-06_dos_iv_fsc_pob_visa_class.xlsx,23
2025,6,FSC,Algeria,CR1,16,2025-06_dos_iv_fsc_pob_visa_class.xlsx,24
2025,6,FSC,Algeria,DV,410,2025-06_dos_iv_fsc_pob_visa_class.xlsx,25
2025,6,FSC,Algeria,EW,4,2025-06_dos_iv_fsc_pob_visa_class.xlsx,26
2025,6,FSC,Algeria,F1,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,27
2025,6,FSC,Algeria,F2A,4,2025-06_dos_iv_fsc_pob_visa_class.xlsx,28
2025,6,FSC,Algeria,F4,8,2025-06_dos_iv_fsc_pob_visa_class.xlsx,29
2025,6,FSC,Algeria,FX,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,30
2025,6,FSC,Algeria,I5,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,31
2025,6,FSC,Algeria,IR1,18,2025-06_dos_iv_fsc_pob_visa_class.xlsx,32
2025,6,FSC,Algeria,IR2,12,2025-06_dos_iv_fsc_pob_visa_class.xlsx,33
2025,6,FSC,Algeria,IR5,23,2025-06_dos_iv_fsc_pob_visa_class.xlsx,34
2025,6,FSC,Algeria,SB1,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,35
2025,6,FSC,Angola,DV,12,2025-06_dos_iv_fsc_pob_visa_class.xlsx,36
2025,6,FSC,Angola,IR1,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,37
2025,6,FSC,Angola,IR2,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,38
2025,6,FSC,Angola,IR5,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,39
2025,6,FSC,Anguilla,IR5,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,40
2025,6,FSC,Antigua and Barbuda,CR1,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,41
2025,6,FSC,Antigua and Barbuda,IR2,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,42
2025,6,FSC,Antigua and Barbuda,IR5,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,43
2025,6,FSC,Argentina,CR1,4,2025-06_dos_iv_fsc_pob_visa_class.xlsx,44
2025,6,FSC,Argentina,DV,3,2025-06_dos_iv_fsc_pob_visa_class.xlsx,45
2025,6,FSC,Argentina,E1,10,2025-06_dos_iv_fsc_pob_visa_class.xlsx,46
2025,6,FSC,Argentina,E2,27,2025-06_dos_iv_fsc_pob_visa_class.xlsx,47
2025,6,FSC,Argentina,E3,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,48
2025,6,FSC,Argentina,F1,3,2025-06_dos_iv_fsc_pob_visa_class.xlsx,49
2025,6,FSC,Argentina,F2B,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,50
2025,6,FSC,Argentina,F4,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,51
2025,6,FSC,Argentina,I5,4,2025-06_dos_iv_fsc_pob_visa_class.xlsx,52
2025,6,FSC,Argentina,IR1,5,2025-06_dos_iv_fsc_pob_visa_class.xlsx,53
2025,6,FSC,Argentina,IR2,4,2025-06_dos_iv_fsc_pob_visa_class.xlsx,54
2025,6,FSC,Argentina,IR5,7,2025-06_dos_iv_fsc_pob_visa_class.xlsx,55
2025,6,FSC,Armenia,CR1,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,56
2025,6,FSC,Armenia,DV,20,2025-06_dos_iv_fsc_pob_visa_class.xlsx,57
2025,6,FSC,Armenia,E2,5,2025-06_dos_iv_fsc_pob_visa_class.xlsx,58
2025,6,FSC,Armenia,F1,7,2025-06_dos_iv_fsc_pob_visa_class.xlsx,59
2025,6,FSC,Armenia,F2B,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,60
2025,6,FSC,Armenia,F3,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,61
2025,6,FSC,Armenia,F4,9,2025-06_dos_iv_fsc_pob_visa_class.xlsx,62
2025,6,FSC,Armenia,I5,1,2025-06_dos_iv_fsc_pob_visa_class.xlsx,63
2025,6,FSC,Armenia,IR1,2,2025-06_dos_iv_fsc_pob_visa_class.xlsx,64
2025,6,FSC,Armenia,IR2,5,2025-06_dos_iv_fsc_pob_visa_class.xlsx,65
