year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file
2024,5,FSC,Afghanistan,CR1,24,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,DV,48,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,E1,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,E3,4,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,EW,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,F1,3,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,F2B,3,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,F3,3,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,F4,10,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,FX,27,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,IR1,52,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,IR2,8,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,IR5,135,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,SB1,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,SQ1,736,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,SQ2,568,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Afghanistan,SQ3,1806,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,CR1,20,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,DV,27,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,EW,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,F1,5,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,F2B,7,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,F3,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,F4,30,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,IR1,8,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,IR5,181,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,IW,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Albania,SQ3,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,CR1,22,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,DV,323,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,F2A,3,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,F4,4,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,GV1,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,GV2,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,GV3,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,IR1,26,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,IR2,4,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Algeria,IR5,36,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Angola,DV,13,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Angola,F1,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Angola,F2A,4,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Angola,FX,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Angola,IR1,3,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Angola,IR2,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Angola,IR5,4,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Anguilla,IR2,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Antigua and Barbuda,E3,5,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Antigua and Barbuda,F1,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Antigua and Barbuda,F3,4,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Antigua and Barbuda,IR1,5,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Antigua and Barbuda,IR2,7,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Antigua and Barbuda,IR5,5,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,CR1,6,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,CR2,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,DV,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,E1,6,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,E2,33,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,E3,9,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,F1,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,F2B,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,F4,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,FX,7,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,IR1,10,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,IR2,4,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Argentina,IR5,19,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Armenia,CR1,4,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Armenia,CR2,1,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Armenia,DV,19,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Armenia,E1,5,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Armenia,E3,12,2024-05_dos_iv_fsc_pob_visa_class.xlsx
2024,5,FSC,Armenia,F1,2,2024-05_dos_iv_fsc_pob_visa_class.xlsx
