year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file
2024,4,FSC,Afghanistan,CR1,11,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,DV,41,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,EW,1,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,F3,15,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,F4,3,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,FX,12,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,IR1,43,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,IR2,20,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,IR5,85,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,SQ1,637,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,SQ2,490,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Afghanistan,SQ3,1507,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,CR1,18,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,DV,79,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,EW,6,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,F1,1,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,F2B,5,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,F4,42,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,FX,1,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,GV1,2,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,GV2,2,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,GV3,1,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,IR1,15,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,IR2,2,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,IR5,175,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Albania,SQ3,2,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,CR1,23,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,DV,243,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,F2A,1,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,F4,2,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,GV1,2,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,GV2,1,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,GV3,2,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,IR1,17,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,IR2,2,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,IR3,1,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,IR5,27,2024-04_dos_iv_fsc_pob_visa_class.xlsx
2024,4,FSC,Algeria,IW,1,2024-04_dos_iv_fsc_pob_visa_class.xlsx
