year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2025,5,FSC,Afghanistan,CR1,34,2025-05_dos_iv_fsc_pob_visa_class.xlsx,3
2025,5,FSC,Afghanistan,CR2,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,4
2025,5,FSC,Afghanistan,DV,21,2025-05_dos_iv_fsc_pob_visa_class.xlsx,5
2025,5,FSC,Afghanistan,F2A,2,2025-05_dos_iv_fsc_pob_visa_class.xlsx,6
2025,5,FSC,Afghanistan,F2B,2,2025-05_dos_iv_fsc_pob_visa_class.xlsx,7
2025,5,FSC,Afghanistan,F3,3,2025-05_dos_iv_fsc_pob_visa_class.xlsx,8
2025,5,FSC,Afghanistan,IR1,46,2025-05_dos_iv_fsc_pob_visa_class.xlsx,9
2025,5,FSC,Afghanistan,IR2,25,2025-05_dos_iv_fsc_pob_visa_class.xlsx,10
2025,5,FSC,Afghanistan,IR5,95,2025-05_dos_iv_fsc_pob_visa_class.xlsx,11
2025,5,FSC,Afghanistan,SQ1,267,2025-05_dos_iv_fsc_pob_visa_class.xlsx,12
2025,5,FSC,Afghanistan,SQ2,193,2025-05_dos_iv_fsc_pob_visa_class.xlsx,13
2025,5,FSC,Afghanistan,SQ3,499,2025-05_dos_iv_fsc_pob_visa_class.xlsx,14
2025,5,FSC,Afghanistan,SW,2,2025-05_dos_iv_fsc_pob_visa_class.xlsx,15
2025,5,FSC,Albania,CR1,10,2025-05_dos_iv_fsc_pob_visa_class.xlsx,16
2025,5,FSC,Albania,DV,3,2025-05_dos_iv_fsc_pob_visa_class.xlsx,17
2025,5,FSC,Albania,EW,2,2025-05_dos_iv_fsc_pob_visa_class.xlsx,18
2025,5,FSC,Albania,F1,10,2025-05_dos_iv_fsc_pob_visa_class.xlsx,19
2025,5,FSC,Albania,F2B,39,2025-05_dos_iv_fsc_pob_visa_class.xlsx,20
2025,5,FSC,Albania,F3,57,2025-05_dos_iv_fsc_pob_visa_class.xlsx,21
2025,5,FSC,Albania,FX,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,22
2025,5,FSC,Albania,IR1,12,2025-05_dos_iv_fsc_pob_visa_class.xlsx,23
2025,5,FSC,Albania,IR2,5,2025-05_dos_iv_fsc_pob_visa_class.xlsx,24
2025,5,FSC,Albania,IR5,64,2025-05_dos_iv_fsc_pob_visa_class.xlsx,25
2025,5,FSC,Algeria,CR1,13,2025-05_dos_iv_fsc_pob_visa_class.xlsx,26
2025,5,FSC,Algeria,DV,257,2025-05_dos_iv_fsc_pob_visa_class.xlsx,27
2025,5,FSC,Algeria,F2A,6,2025-05_dos_iv_fsc_pob_visa_class.xlsx,28
2025,5,FSC,Algeria,F3,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,29
2025,5,FSC,Algeria,F4,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,30
2025,5,FSC,Algeria,IR1,17,2025-05_dos_iv_fsc_pob_visa_class.xlsx,31
2025,5,FSC,Algeria,IR2,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,32
2025,5,FSC,Algeria,IR5,22,2025-05_dos_iv_fsc_pob_visa_class.xlsx,33
2025,5,FSC,Algeria,SB1,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,34
2025,5,FSC,Angola,DV,14,2025-05_dos_iv_fsc_pob_visa_class.xlsx,35
2025,5,FSC,Angola,F1,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,36
2025,5,FSC,Angola,IR1,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,37
2025,5,FSC,Angola,IR2,2,2025-05_dos_iv_fsc_pob_visa_class.xlsx,38
2025,5,FSC,Angola,IR5,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,39
2025,5,FSC,Antigua and Barbuda,F1,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,40
2025,5,FSC,Antigua and Barbuda,F2A,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,41
2025,5,FSC,Antigua and Barbuda,IR2,2,2025-05_dos_iv_fsc_pob_visa_class.xlsx,42
2025,5,FSC,Antigua and Barbuda,IR5,5,2025-05_dos_iv_fsc_pob_visa_class.xlsx,43
2025,5,FSC,Argentina,CR1,3,2025-05_dos_iv_fsc_pob_visa_class.xlsx,44
2025,5,FSC,Argentina,E1,1,2025-05_dos_iv_fsc_pob_visa_class.xlsx,45
