year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2024,9,FSC,Afghanistan,CR1,17,2024-09_dos_iv_fsc_pob_visa_class.xlsx,3
2024,9,FSC,Afghanistan,DV,120,2024-09_dos_iv_fsc_pob_visa_class.xlsx,4
2024,9,FSC,Afghanistan,F1,12,2024-09_dos_iv_fsc_pob_visa_class.xlsx,5
2024,9,FSC,Afghanistan,F2A,40,2024-09_dos_iv_fsc_pob_visa_class.xlsx,6
2024,9,FSC,Afghanistan,F2B,2,2024-09_dos_iv_fsc_pob_visa_class.xlsx,7
2024,9,FSC,Afghanistan,F3,22,2024-09_dos_iv_fsc_pob_visa_class.xlsx,8
2024,9,FSC,Afghanistan,F4,3,2024-09_dos_iv_fsc_pob_visa_class.xlsx,9
2024,9,FSC,Afghanistan,FX,35,2024-09_dos_iv_fsc_pob_visa_class.xlsx,10
2024,9,FSC,Afghanistan,IR1,46,2024-09_dos_iv_fsc_pob_visa_class.xlsx,11
2024,9,FSC,Afghanistan,IR2,11,2024-09_dos_iv_fsc_pob_visa_class.xlsx,12
2024,9,FSC,Afghanistan,IR5,329,2024-09_dos_iv_fsc_pob_visa_class.xlsx,13
2024,9,FSC,Afghanistan,SQ1,612,2024-09_dos_iv_fsc_pob_visa_class.xlsx,14
2024,9,FSC,Afghanistan,SQ2,544,2024-09_dos_iv_fsc_pob_visa_class.xlsx,15
2024,9,FSC,Afghanistan,SQ3,1957,2024-09_dos_iv_fsc_pob_visa_class.xlsx,16
2024,9,FSC,Albania,CR1,7,2024-09_dos_iv_fsc_pob_visa_class.xlsx,17
2024,9,FSC,Albania,DV,48,2024-09_dos_iv_fsc_pob_visa_class.xlsx,18
2024,9,FSC,Albania,F1,11,2024-09_dos_iv_fsc_pob_visa_class.xlsx,19
2024,9,FSC,Albania,F2A,8,2024-09_dos_iv_fsc_pob_visa_class.xlsx,20
2024,9,FSC,Albania,F2B,22,2024-09_dos_iv_fsc_pob_visa_class.xlsx,21
2024,9,FSC,Albania,F3,61,2024-09_dos_iv_fsc_pob_visa_class.xlsx,22
2024,9,FSC,Albania,F4,35,2024-09_dos_iv_fsc_pob_visa_class.xlsx,23
2024,9,FSC,Albania,FX,9,2024-09_dos_iv_fsc_pob_visa_class.xlsx,24
2024,9,FSC,Albania,IR1,8,2024-09_dos_iv_fsc_pob_visa_class.xlsx,25
