year,month,basis,fsc_or_place_of_birth,visa_class,issuances,source_file,source_row
2024,3,FSC,Afghanistan,CR1,14,2024-03_dos_iv_fsc_pob_visa_class.xlsx,3
2024,3,FSC,Afghanistan,DV,93,2024-03_dos_iv_fsc_pob_visa_class.xlsx,4
2024,3,FSC,Afghanistan,E2,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,5
2024,3,FSC,Afghanistan,E3,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,6
2024,3,FSC,Afghanistan,EW,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,7
2024,3,FSC,Afghanistan,F2B,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,8
2024,3,FSC,Afghanistan,F3,10,2024-03_dos_iv_fsc_pob_visa_class.xlsx,9
2024,3,FSC,Afghanistan,F4,4,2024-03_dos_iv_fsc_pob_visa_class.xlsx,10
2024,3,FSC,Afghanistan,FX,8,2024-03_dos_iv_fsc_pob_visa_class.xlsx,11
2024,3,FSC,Afghanistan,IR1,47,2024-03_dos_iv_fsc_pob_visa_class.xlsx,12
2024,3,FSC,Afghanistan,IR2,10,2024-03_dos_iv_fsc_pob_visa_class.xlsx,13
2024,3,FSC,Afghanistan,IR5,127,2024-03_dos_iv_fsc_pob_visa_class.xlsx,14
2024,3,FSC,Afghanistan,SI1,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,15
2024,3,FSC,Afghanistan,SI2,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,16
2024,3,FSC,Afghanistan,SI3,7,2024-03_dos_iv_fsc_pob_visa_class.xlsx,17
2024,3,FSC,Afghanistan,SQ1,599,2024-03_dos_iv_fsc_pob_visa_class.xlsx,18
2024,3,FSC,Afghanistan,SQ2,519,2024-03_dos_iv_fsc_pob_visa_class.xlsx,19
2024,3,FSC,Afghanistan,SQ3,1668,2024-03_dos_iv_fsc_pob_visa_class.xlsx,20
2024,3,FSC,Albania,CR1,19,2024-03_dos_iv_fsc_pob_visa_class.xlsx,21
2024,3,FSC,Albania,DV,75,2024-03_dos_iv_fsc_pob_visa_class.xlsx,22
2024,3,FSC,Albania,E3,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,23
2024,3,FSC,Albania,EW,5,2024-03_dos_iv_fsc_pob_visa_class.xlsx,24
2024,3,FSC,Albania,F2B,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,25
2024,3,FSC,Albania,F4,19,2024-03_dos_iv_fsc_pob_visa_class.xlsx,26
2024,3,FSC,Albania,FX,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,27
2024,3,FSC,Albania,IR1,14,2024-03_dos_iv_fsc_pob_visa_class.xlsx,28
2024,3,FSC,Albania,IR2,8,2024-03_dos_iv_fsc_pob_visa_class.xlsx,29
2024,3,FSC,Albania,IR5,203,2024-03_dos_iv_fsc_pob_visa_class.xlsx,30
2024,3,FSC,Albania,SQ3,3,2024-03_dos_iv_fsc_pob_visa_class.xlsx,31
2024,3,FSC,Algeria,CR1,24,2024-03_dos_iv_fsc_pob_visa_class.xlsx,32
2024,3,FSC,Algeria,DV,348,2024-03_dos_iv_fsc_pob_visa_class.xlsx,33
2024,3,FSC,Algeria,FX,5,2024-03_dos_iv_fsc_pob_visa_class.xlsx,34
2024,3,FSC,Algeria,IR1,23,2024-03_dos_iv_fsc_pob_visa_class.xlsx,35
2024,3,FSC,Algeria,IR2,4,2024-03_dos_iv_fsc_pob_visa_class.xlsx,36
2024,3,FSC,Algeria,IR5,57,2024-03_dos_iv_fsc_pob_visa_class.xlsx,37
2024,3,FSC,Algeria,SB1,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,38
2024,3,FSC,Angola,CR1,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,39
2024,3,FSC,Angola,DV,6,2024-03_dos_iv_fsc_pob_visa_class.xlsx,40
2024,3,FSC,Angola,E2,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,41
2024,3,FSC,Angola,IR1,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,42
2024,3,FSC,Angola,IR2,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,43
2024,3,FSC,Angola,IR5,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,44
2024,3,FSC,Antigua and Barbuda,F1,5,2024-03_dos_iv_fsc_pob_visa_class.xlsx,45
2024,3,FSC,Antigua and Barbuda,F2B,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,46
2024,3,FSC,Antigua and Barbuda,F3,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,47
2024,3,FSC,Antigua and Barbuda,IR2,4,2024-03_dos_iv_fsc_pob_visa_class.xlsx,48
2024,3,FSC,Antigua and Barbuda,IR3,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,49
2024,3,FSC,Antigua and Barbuda,IR5,5,2024-03_dos_iv_fsc_pob_visa_class.xlsx,50
2024,3,FSC,Argentina,CR1,6,2024-03_dos_iv_fsc_pob_visa_class.xlsx,51
2024,3,FSC,Argentina,DV,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,52
2024,3,FSC,Argentina,E1,6,2024-03_dos_iv_fsc_pob_visa_class.xlsx,53
2024,3,FSC,Argentina,E2,30,2024-03_dos_iv_fsc_pob_visa_class.xlsx,54
2024,3,FSC,Argentina,E3,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,55
2024,3,FSC,Argentina,EW,3,2024-03_dos_iv_fsc_pob_visa_class.xlsx,56
2024,3,FSC,Argentina,F1,3,2024-03_dos_iv_fsc_pob_visa_class.xlsx,57
2024,3,FSC,Argentina,IR1,12,2024-03_dos_iv_fsc_pob_visa_class.xlsx,58
2024,3,FSC,Argentina,IR2,9,2024-03_dos_iv_fsc_pob_visa_class.xlsx,59
2024,3,FSC,Argentina,IR5,13,2024-03_dos_iv_fsc_pob_visa_class.xlsx,60
2024,3,FSC,Armenia,CR1,14,2024-03_dos_iv_fsc_pob_visa_class.xlsx,61
2024,3,FSC,Armenia,DV,132,2024-03_dos_iv_fsc_pob_visa_class.xlsx,62
2024,3,FSC,Armenia,E2,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,63
2024,3,FSC,Armenia,F2A,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,64
2024,3,FSC,Armenia,F3,10,2024-03_dos_iv_fsc_pob_visa_class.xlsx,65
2024,3,FSC,Armenia,F4,4,2024-03_dos_iv_fsc_pob_visa_class.xlsx,66
2024,3,FSC,Armenia,FX,4,2024-03_dos_iv_fsc_pob_visa_class.xlsx,67
2024,3,FSC,Armenia,IR1,10,2024-03_dos_iv_fsc_pob_visa_class.xlsx,68
2024,3,FSC,Armenia,IR2,8,2024-03_dos_iv_fsc_pob_visa_class.xlsx,69
2024,3,FSC,Armenia,IR5,58,2024-03_dos_iv_fsc_pob_visa_class.xlsx,70
2024,3,FSC,Armenia,SB1,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,71
2024,3,FSC,Australia,CR1,13,2024-03_dos_iv_fsc_pob_visa_class.xlsx,72
2024,3,FSC,Australia,DV,6,2024-03_dos_iv_fsc_pob_visa_class.xlsx,73
2024,3,FSC,Australia,E2,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,74
2024,3,FSC,Australia,E3,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,75
2024,3,FSC,Australia,I5,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,76
2024,3,FSC,Australia,IR1,16,2024-03_dos_iv_fsc_pob_visa_class.xlsx,77
2024,3,FSC,Australia,IR2,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,78
2024,3,FSC,Australia,IR5,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,79
2024,3,FSC,Austria,CR1,2,2024-03_dos_iv_fsc_pob_visa_class.xlsx,80
2024,3,FSC,Austria,DV,1,2024-03_dos_iv_fsc_pob_visa_class.xlsx,81
